# title = Transverse Momentum Positron
# xlabel = $p_{\text{T},\text{e}^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{e}^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
#
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
  38     740.00     760.00  1.480204132638277E-06  4.933030747665187E-07 1205624
  39     760.00     780.00  1.734986254579779E-06  3.879024473670895E-07 1125167
  40     780.00     800.00  1.385143085439726E-06  4.060611726370391E-07 1048309
  41     800.00     820.00  1.399146839226421E-06  2.473028824447406E-07 980106
  42     820.00     840.00  1.399472576454592E-06  2.778962027330024E-07 915713
  43     840.00     860.00  8.663944541001957E-07  2.542242001156650E-07 856255
  44     860.00     880.00  7.587445220972279E-07  1.903361566852963E-07 802414
  45     880.00     900.00  6.012970703665834E-07  2.512123677940295E-07 752317
  46     900.00     920.00  2.041686274130214E-07  2.333761032982297E-07 706868
  47     920.00     940.00  5.845924581926350E-07  1.454724520081744E-07 663269
  48     940.00     960.00  1.891947114705509E-08  1.849055049343648E-07 622749
  49     960.00     980.00  9.052647975401396E-08  2.538113508615962E-07 586214
  50     980.00    1000.00  3.187348075457491E-07  9.778340582199554E-08 552253
  51    1000.00    1020.00  2.828447413099294E-07  8.517094356399983E-08 519965
  52    1020.00    1040.00  2.351584909456316E-07  7.920149657827619E-08 489704
  53    1040.00    1060.00  3.178803052558431E-07  8.373715621587054E-08 462375
  54    1060.00    1080.00  2.188648053692768E-07  6.614293827172822E-08 436026
  55    1080.00    1100.00  1.471157111635773E-07  6.749377615391289E-08 412266
  56    1100.00    1120.00  1.604131110086398E-07  5.147180319497888E-08 389198
  57    1120.00    1140.00 -4.340176303320799E-08  1.507844884164320E-07 368633
  58    1140.00    1160.00 -6.053985107195500E-08  8.141160623918485E-08 348485
  59    1160.00    1180.00 -1.822032429518289E-08  5.641941034561600E-08 329549
  60    1180.00    1200.00 -3.375845233320925E-09  6.045676236800365E-08 312319
  61    1200.00    1220.00  4.279745536641801E-08  4.776162741378316E-08 295405
  62    1220.00    1240.00  7.159799945821392E-08  4.296377055084112E-08 278981
  63    1240.00    1260.00 -1.477676217481402E-08  4.325678956241788E-08 265429
  64    1260.00    1280.00  5.555122924660636E-08  2.080765902912932E-08 252826
  65    1280.00    1300.00  5.141709129850177E-08  2.274832872615950E-08 238697
  66    1300.00    1320.00  3.837655295324583E-08  1.764514593626376E-08 226574
  67    1320.00    1340.00  1.001114146321745E-08  3.315769915156228E-08 215806
  68    1340.00    1360.00 -1.247659410685623E-08  2.846846965258937E-08 205174
  69    1360.00    1380.00  3.760045518742519E-08  9.816327689528986E-09 195023
  70    1380.00    1400.00  4.478171190172732E-09  1.332055605929016E-08 184994
  71    1400.00    1420.00  2.209681542603301E-08  1.631398868382084E-08 176301
