# title = Rapidity separation Jets
# xlabel = $\Delta y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -9.000E+00
# xmax=  9.000E+00
# ymin=  1.000E-04
# ymax=  3.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
#	#	#	#	#	#	#
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
  11       5.00       5.50  3.420898389441431E-01  1.177284613990828E-03 747013450	  11       5.00       5.50  3.423576313307654E-01  1.069771006571789E-03 747013450	  11       5.00       5.50  3.412460541874077E-01  1.088641971572132E-03 747013450	  11       5.00       5.50  3.389821859665479E-01  9.889502740005073E-04 747013450	  11       5.00       5.50  3.409036622322880E-01  1.456909727897876E-03 747013450	  11       5.00       5.50  3.446439404986205E-01  1.310084418023212E-03 747013450	  11       5.00       5.50  3.417938978488294E-01  1.309692655854809E-03 747013450
  12       5.50       6.00  2.583602977155541E-01  1.175180727654518E-03 524815883	  12       5.50       6.00  2.581894115568694E-01  1.066328991826305E-03 524815883	  12       5.50       6.00  2.572693647104669E-01  1.074751314930906E-03 524815883	  12       5.50       6.00  2.549809761065078E-01  9.748954353557384E-04 524815883	  12       5.50       6.00  2.577994947406434E-01  1.474532393878727E-03 524815883	  12       5.50       6.00  2.605619448568921E-01  1.323675272660633E-03 524815883	  12       5.50       6.00  2.585969372636843E-01  1.309653209904909E-03 524815883
  13       6.00       6.50  1.763215456929325E-01  1.050613896606388E-03 342139251	  13       6.00       6.50  1.758097486376172E-01  9.516435920635825E-04 342139251	  13       6.00       6.50  1.744756680800558E-01  9.604848942487119E-04 342139251	  13       6.00       6.50  1.724549042132101E-01  8.697282628925748E-04 342139251	  13       6.00       6.50  1.773598798917047E-01  1.325159310393907E-03 342139251	  13       6.00       6.50  1.789318494895674E-01  1.187033504724330E-03 342139251	  13       6.00       6.50  1.769716710285626E-01  1.173360943911479E-03 342139251
  14       6.50       7.00  1.046124658644558E-01  9.386647532898759E-04 205810353	  14       6.50       7.00  1.041655398714438E-01  8.485088800845346E-04 205810353	  14       6.50       7.00  1.037963592771328E-01  8.372771258732004E-04 205810353	  14       6.50       7.00  1.023125929343014E-01  7.566884705206703E-04 205810353	  14       6.50       7.00  1.046152879927958E-01  1.217440690349850E-03 205810353	  14       6.50       7.00  1.056428673027718E-01  1.087675742209922E-03 205810353	  14       6.50       7.00  1.051775402670295E-01  1.050977898563389E-03 205810353
  15       7.00       7.50  5.385569185011260E-02  6.747953686768574E-04 112109095	  15       7.00       7.50  5.347241596357106E-02  6.087697468153672E-04 112109095	  15       7.00       7.50  5.261235398367065E-02  6.063665983567154E-04 112109095	  15       7.00       7.50  5.172392198706297E-02  5.468568266517843E-04 112109095	  15       7.00       7.50  5.499182330945117E-02  8.712438571954916E-04 112109095	  15       7.00       7.50  5.532147128136614E-02  7.765443592527496E-04 112109095	  15       7.00       7.50  5.433566189293262E-02  7.574304231524098E-04 112109095
  16       7.50       8.00  2.187605438963085E-02  4.629138693631214E-04 53196731	  16       7.50       8.00  2.169781913451181E-02  4.168269510507602E-04 53196731	  16       7.50       8.00  2.135282301381876E-02  4.120140938319832E-04 53196731	  16       7.50       8.00  2.094266601918853E-02  3.709069825980767E-04 53196731	  16       7.50       8.00  2.229987145535078E-02  6.067684653028733E-04 53196731	  16       7.50       8.00  2.246214440397191E-02  5.394588021372840E-04 53196731	  16       7.50       8.00  2.210076854637897E-02  5.208311234485067E-04 53196731
  17       8.00       8.50  6.867659802351589E-03  2.419777659181235E-04 20031551	  17       8.00       8.50  6.765871932946674E-03  2.173323060620622E-04 20031551	  17       8.00       8.50  6.594077256686764E-03  2.114682999145172E-04 20031551	  17       8.00       8.50  6.427411665939840E-03  1.898990663256560E-04 20031551	  17       8.00       8.50  7.192552730166006E-03  3.251958805969669E-04 20031551	  17       8.00       8.50  7.178601870082426E-03  2.881790842650886E-04 20031551	  17       8.00       8.50  6.996031840183289E-03  2.731297848743412E-04 20031551
  18       8.50       9.00  9.605760056061777E-04  8.788508225355515E-05 4155198	  18       8.50       9.00  9.495366097649456E-04  7.881467035604720E-05 4155198	  18       8.50       9.00  9.376677596042415E-04  7.718910584585889E-05 4155198	  18       8.50       9.00  9.140077998066228E-04  6.920662208144956E-05 4155198	  18       8.50       9.00  9.701021896042662E-04  1.182424979237923E-04 4155198	  18       8.50       9.00  9.792899409448114E-04  1.045950499643892E-04 4155198	  18       8.50       9.00  9.745645083089874E-04  9.939110873912346E-05 4155198
  19       9.00       9.50  0.000000000000000E+00  0.000000000000000E+00 0	  19       9.00       9.50  0.000000000000000E+00  0.000000000000000E+00 0	  19       9.00       9.50  0.000000000000000E+00  0.000000000000000E+00 0	  19       9.00       9.50  0.000000000000000E+00  0.000000000000000E+00 0	  19       9.00       9.50  0.000000000000000E+00  0.000000000000000E+00 0	  19       9.00       9.50  0.000000000000000E+00  0.000000000000000E+00 0	  19       9.00       9.50  0.000000000000000E+00  0.000000000000000E+00 0
  20       9.50      10.00  0.000000000000000E+00  0.000000000000000E+00 0	  20       9.50      10.00  0.000000000000000E+00  0.000000000000000E+00 0	  20       9.50      10.00  0.000000000000000E+00  0.000000000000000E+00 0	  20       9.50      10.00  0.000000000000000E+00  0.000000000000000E+00 0	  20       9.50      10.00  0.000000000000000E+00  0.000000000000000E+00 0	  20       9.50      10.00  0.000000000000000E+00  0.000000000000000E+00 0	  20       9.50      10.00  0.000000000000000E+00  0.000000000000000E+00 0
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
# Sum:                      -1.8991442334620626E-01  2.3435413306193606E-03 140000
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# Number of generated events: 45678592
