# title = Invariant Mass visible System
# xlabel = $M_{\text{e}^+\mu^+\text{j}_1\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{e}^+\mu^+\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  1.600E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
#
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
  78    1540.00    1560.00  4.547402042451948E-04  4.396344717807449E-05 6543122
  79    1560.00    1580.00  4.891128757690709E-04  4.726917079648758E-05 6475087
  80    1580.00    1600.00  5.064906685313347E-04  5.512321350017289E-05 6400072
  81    1600.00    1620.00  4.774684214302455E-04  5.431726589586909E-05 6333641
  82    1620.00    1640.00  4.418084462580652E-04  4.718811597846088E-05 6264755
  83    1640.00    1660.00  5.120822045267486E-04  4.370821774971830E-05 6198984
  84    1660.00    1680.00  4.651602021521207E-04  4.878568102886216E-05 6130337
  85    1680.00    1700.00  3.982917298636288E-04  4.912098840903577E-05 6065117
  86    1700.00    1720.00  4.530950061156448E-04  4.304197214072228E-05 6000887
  87    1720.00    1740.00  4.100851428584013E-04  4.544043777317077E-05 5935209
  88    1740.00    1760.00  4.599723989317396E-04  4.286050506445802E-05 5862456
  89    1760.00    1780.00  3.893803303830053E-04  4.306826098615271E-05 5805274
  90    1780.00    1800.00  4.767203525219624E-04  4.735661884669872E-05 5734699
  91    1800.00    1820.00  4.444168556910480E-04  5.490090751995803E-05 5679017
  92    1820.00    1840.00  3.969931751789207E-04  4.796685127850250E-05 5612530
  93    1840.00    1860.00  3.856587091560658E-04  4.994831389612059E-05 5548609
  94    1860.00    1880.00  3.814997005061641E-04  4.440981398017044E-05 5491105
  95    1880.00    1900.00  3.753720030773748E-04  4.309755162676012E-05 5429912
  96    1900.00    1920.00  4.579125029227978E-04  4.458395930125003E-05 5370299
  97    1920.00    1940.00  9.279667422718663E-04  5.213741805795371E-04 5307432
  98    1940.00    1960.00 -1.678527686266988E-04  5.233166944789185E-04 5249196
  99    1960.00    1980.00  3.059147563757684E-04  9.413929459882625E-05 5195494
 100    1980.00    2000.00  4.509924094347271E-04  8.645263925061184E-05 5139113
 101    2000.00    2020.00  4.330152404214322E-04  4.759326010589542E-05 5079545
 102    2020.00    2040.00  4.913711698779918E-04  5.719442052695133E-05 5020508
 103    2040.00    2060.00  2.355734251416064E-04  5.624032945125870E-05 4969360
 104    2060.00    2080.00  2.934276463437655E-04  4.238205479380038E-05 4914835
 105    2080.00    2100.00  3.069602373517143E-04  4.170363336929832E-05 4857811
 106    2100.00    2120.00  3.648933554628464E-04  3.951981035414614E-05 4801544
 107    2120.00    2140.00  3.990741019051543E-04  4.072377678473872E-05 4751506
 108    2140.00    2160.00  3.628505281800980E-04  4.984843830067751E-05 4699430
 109    2160.00    2180.00  2.978942541860823E-04  4.920178706480114E-05 4648125
 110    2180.00    2200.00  2.887992305737739E-04  3.901948699316265E-05 4598456
 111    2200.00    2220.00  3.844878356960113E-04  4.082804151156768E-05 4548131
 112    2220.00    2240.00  2.888087735987210E-04  4.392996963335637E-05 4497639
 113    2240.00    2260.00  3.428017866330644E-04  4.734277141124014E-05 4451667
 114    2260.00    2280.00  3.012518894227778E-04  3.875042048749773E-05 4399792
 115    2280.00    2300.00  2.652850369216937E-04  4.019887792401595E-05 4353837
 116    2300.00    2320.00  2.359694733003391E-04  5.310091536152355E-05 4306635
 117    2320.00    2340.00  3.156935269160416E-04  4.859231698564473E-05 4262418
 118    2340.00    2360.00  2.542808995199904E-04  4.413959749218432E-05 4213917
 119    2360.00    2380.00  2.250899722064208E-04  5.070594669066036E-05 4168660
 120    2380.00    2400.00  3.222063965213431E-04  4.871430372295214E-05 4124635
 121    2400.00    2420.00  2.322161916591903E-04  4.960303708372700E-05 4078027
 122    2420.00    2440.00  2.861334584295779E-04  4.558821689686270E-05 4032579
 123    2440.00    2460.00  2.310138184673366E-04  3.842874339090970E-05 3988756
 124    2460.00    2480.00  3.170243076952314E-04  5.124456952063014E-05 3949064
 125    2480.00    2500.00  2.772378458121783E-04  6.811103941686074E-05 3911331
 126    2500.00    2520.00  1.996514257891578E-04  6.095445749528428E-05 3866073
 127    2520.00    2540.00  2.742670853632143E-04  5.811112361551347E-05 3821315
 128    2540.00    2560.00  1.867762448589565E-04  5.373749567277984E-05 3783741
 129    2560.00    2580.00  2.512084186055010E-04  3.814274631816035E-05 3746553
 130    2580.00    2600.00  1.853751201965966E-04  3.744123215044792E-05 3704009
 131    2600.00    2620.00  1.832275392658190E-04  3.943439198307288E-05 3665630
 132    2620.00    2640.00  2.757188198199860E-04  3.878452263704227E-05 3628259
 133    2640.00    2660.00  2.089201553627128E-04  4.577750041755363E-05 3586884
 134    2660.00    2680.00  1.952263856917978E-04  4.623598367418033E-05 3552214
 135    2680.00    2700.00  2.505819997802773E-04  3.552239708841921E-05 3511537
 136    2700.00    2720.00  1.952580783962920E-04  3.596596716698733E-05 3475712
 137    2720.00    2740.00  1.583879473707717E-04  3.832696509691889E-05 3440706
 138    2740.00    2760.00  1.486896666605512E-04  3.643435325307243E-05 3403589
 139    2760.00    2780.00  2.639428416627740E-04  4.299148750004434E-05 3370420
 140    2780.00    2800.00  1.793889367129120E-04  4.058792034325454E-05 3330970
 141    2800.00    2820.00  2.013558762211649E-04  3.897010515366132E-05 3298056
 142    2820.00    2840.00  1.404720962773421E-04  4.392171184639929E-05 3264163
 143    2840.00    2860.00  2.081721516586892E-04  4.299061088712645E-05 3231646
 144    2860.00    2880.00  1.197703766512337E-04  3.993777205226348E-05 3197571
 145    2880.00    2900.00  3.027306790270846E-04  1.001514517457503E-04 3165277
 146    2900.00    2920.00  8.283546883310849E-05  1.040971935051768E-04 3131893
 147    2920.00    2940.00  1.701076210427935E-04  5.044875125897222E-05 3099647
 148    2940.00    2960.00  2.627172673457308E-04  4.500743458247704E-05 3065685
 149    2960.00    2980.00  3.480202037998346E-05  4.302806224683597E-05 3038884
 150    2980.00    3000.00  2.187564539038513E-04  3.457241744264354E-05 3005911
 151    3000.00    3020.00  1.497841756443953E-04  3.660058479481219E-05 2977227
 152    3020.00    3040.00  1.287716010680457E-04  3.009201552456617E-05 2945041
 153    3040.00    3060.00  1.249882332558696E-04  3.392144441811113E-05 2917592
 154    3060.00    3080.00  1.547401231438215E-04  3.240515230040350E-05 2884980
 155    3080.00    3100.00  1.815420368314735E-04  3.210671590142731E-05 2856419
 156    3100.00    3120.00  1.024783929262848E-04  3.140729369904435E-05 2827299
 157    3120.00    3140.00  9.780162951872928E-05  5.175627570772781E-05 2799810
 158    3140.00    3160.00  2.501284138983399E-04  5.938939281697615E-05 2770981
 159    3160.00    3180.00  1.079040711546642E-04  3.662348101990385E-05 2743522
 160    3180.00    3200.00  1.323469229831919E-04  3.429994305820073E-05 2714623
 161    3200.00    3220.00  1.100977013157096E-04  3.116800130776938E-05 2687251
 162    3220.00    3240.00  1.034226050538023E-04  5.374591047900376E-05 2662858
 163    3240.00    3260.00  1.816486461992058E-04  5.742663966896933E-05 2638953
 164    3260.00    3280.00  1.423597422480789E-04  4.167066236254710E-05 2606352
 165    3280.00    3300.00  1.121629757866149E-04  3.512896215064460E-05 2582161
 166    3300.00    3320.00  1.267487992760945E-04  2.767294197917923E-05 2559208
 167    3320.00    3340.00  8.125323079325036E-05  3.992799278308306E-05 2531136
 168    3340.00    3360.00  3.472711340370515E-05  3.075163966657075E-05 2504792
 169    3360.00    3380.00  1.426471114529874E-04  2.439251725003649E-05 2483333
 170    3380.00    3400.00  1.275419469815955E-04  3.496852477047600E-05 2455443
 171    3400.00    3420.00  5.486111100373752E-05  3.673308356124078E-05 2433904
 172    3420.00    3440.00  1.001602119076425E-04  3.164008896411456E-05 2410595
 173    3440.00    3460.00  7.970120398812692E-05  4.037454222568140E-05 2382233
 174    3460.00    3480.00  8.949369454821704E-05  3.292749300004237E-05 2363792
 175    3480.00    3500.00  1.333552525900324E-04  3.544580667954531E-05 2340965
 176    3500.00    3520.00  4.611479118320697E-05  3.317487454086516E-05 2318499
 177    3520.00    3540.00  7.273449349901325E-05  2.964457912304715E-05 2293647
 178    3540.00    3560.00  9.819964893008886E-05  2.755959041482507E-05 2273276
 179    3560.00    3580.00  9.684228679492878E-05  3.046911006589154E-05 2248797
 180    3580.00    3600.00  1.265764176355669E-04  3.747322493102428E-05 2230104
 181    3600.00    3620.00  9.808594568048950E-05  9.599410741170891E-05 2205173
 182    3620.00    3640.00  9.458352654104579E-05  9.903425640988391E-05 2185945
 183    3640.00    3660.00  1.520984089006414E-05  3.622658178033276E-05 2163901
 184    3660.00    3680.00  9.284039872762869E-05  2.959582191299342E-05 2143933
 185    3680.00    3700.00  6.133832744947460E-05  2.908732442933420E-05 2122998
 186    3700.00    3720.00  7.862416833109648E-05  2.183011448879816E-05 2102201
 187    3720.00    3740.00  6.633875151809064E-05  2.329905294321416E-05 2083612
 188    3740.00    3760.00  5.027707384975254E-05  2.027060081318291E-05 2060052
 189    3760.00    3780.00  1.304622221759182E-04  2.471183005903020E-05 2042505
 190    3780.00    3800.00  4.521045010591471E-05  2.689398617603553E-05 2022582
 191    3800.00    3820.00  7.645617298600582E-05  2.133797686575992E-05 2002988
 192    3820.00    3840.00  7.016739917865617E-05  4.455609013221496E-05 1989007
 193    3840.00    3860.00  4.364143878809375E-05  4.317473134535273E-05 1966809
 194    3860.00    3880.00  6.681746905046853E-05  2.320489746260804E-05 1946909
 195    3880.00    3900.00  6.491791096475896E-05  1.865725388631166E-05 1926859
 196    3900.00    3920.00  4.473413153090984E-05  1.912268195245993E-05 1909948
 197    3920.00    3940.00  6.038144594491951E-05  2.328386969236564E-05 1891751
 198    3940.00    3960.00  8.298895520782638E-05  2.372373444209960E-05 1873062
 199    3960.00    3980.00  5.306116097571824E-05  2.104580819134762E-05 1856302
 200    3980.00    4000.00  5.273556051570644E-05  2.602487233423544E-05 1835844
 201    4000.00    4020.00  5.224323810102170E-05  2.380660397278509E-05 1820083
 202    4020.00    4040.00  4.424605492546277E-05  1.891827450734148E-05 1800820
 203    4040.00    4060.00  5.524800934595714E-05  2.000321328932503E-05 1787703
 204    4060.00    4080.00  4.982759351324559E-05  2.012148604264196E-05 1770466
 205    4080.00    4100.00  3.654884120594333E-05  1.875802931421811E-05 1753813
 206    4100.00    4120.00  2.848249696455859E-05  2.712893515258232E-05 1736386
 207    4120.00    4140.00  6.050320698029217E-05  1.879423803600015E-05 1722274
 208    4140.00    4160.00  3.211400449699701E-05  1.849704939319435E-05 1705403
 209    4160.00    4180.00  7.807823872800817E-05  1.883487961117220E-05 1689791
 210    4180.00    4200.00  1.348061022370197E-06  1.946033251162582E-05 1672531
 211    4200.00    4220.00  8.276639012067678E-06  2.483697465469297E-05 1656543
 212    4220.00    4240.00  5.810085283007998E-05  2.013778008581768E-05 1645863
 213    4240.00    4260.00  3.654089574625615E-05  1.603904371126990E-05 1627429
 214    4260.00    4280.00  6.006315845812924E-05  1.497860982894606E-05 1609799
 215    4280.00    4300.00  2.380797432510914E-05  1.741429939917789E-05 1597624
 216    4300.00    4320.00  7.686938540548402E-06  1.583489226208702E-05 1581175
 217    4320.00    4340.00  5.634746131156728E-05  1.408624085113922E-05 1567422
 218    4340.00    4360.00  5.772756081250401E-05  1.529655263302195E-05 1553143
 219    4360.00    4380.00  7.622923859391658E-06  1.655578260621760E-05 1536251
 220    4380.00    4400.00  5.818146832302607E-05  1.739667121064376E-05 1521749
 221    4400.00    4420.00  5.430289836756812E-05  1.768036167718020E-05 1510876
 222    4420.00    4440.00 -1.479819950505463E-05  1.471323428790310E-05 1494401
 223    4440.00    4460.00  4.502949546261824E-05  2.348479887428214E-05 1481765
 224    4460.00    4480.00  3.369977781941911E-05  2.148452765374908E-05 1466160
 225    4480.00    4500.00  4.361302085195099E-05  2.092345549219301E-05 1454667
 226    4500.00    4520.00 -2.293999043509663E-05  4.209798085390337E-05 1444183
 227    4520.00    4540.00  5.051348237237727E-05  3.999946893178164E-05 1428311
 228    4540.00    4560.00  4.111187702596265E-05  2.397479266646671E-05 1416080
 229    4560.00    4580.00  2.173354304608264E-05  2.332927612318661E-05 1401065
 230    4580.00    4600.00  4.021781607014908E-05  1.313660100110516E-05 1387237
 231    4600.00    4620.00  4.168743014650143E-05  1.601241083777032E-05 1376776
 232    4620.00    4640.00  1.008840739855955E-05  1.619227338907195E-05 1364383
 233    4640.00    4660.00  8.338166202001049E-06  1.606449042205014E-05 1352277
 234    4660.00    4680.00  3.592917044673855E-05  1.225135602776180E-05 1336161
 235    4680.00    4700.00  4.375866604693527E-05  2.911526131090477E-05 1325701
 236    4700.00    4720.00 -1.042866024958485E-05  2.746332962621402E-05 1313957
 237    4720.00    4740.00  2.925534054867908E-05  1.560649133682740E-05 1302513
 238    4740.00    4760.00  2.556235195626770E-05  1.511824293191486E-05 1289129
 239    4760.00    4780.00  3.132791612092872E-06  1.156280130508186E-05 1278723
 240    4780.00    4800.00  3.095763802873080E-05  9.539146110889653E-06 1268870
 241    4800.00    4820.00  2.376393972657587E-05  1.433318146927897E-05 1252831
 242    4820.00    4840.00  2.132145676606104E-05  1.418230243395860E-05 1243058
 243    4840.00    4860.00  3.046705313698360E-05  7.866658262353230E-06 1231332
 244    4860.00    4880.00  7.648701612509802E-06  1.172846302147328E-05 1222521
 245    4880.00    4900.00  2.156038349752306E-06  1.768360765434870E-05 1208372
 246    4900.00    4920.00  2.669041378042939E-05  1.524480772379738E-05 1198735
 247    4920.00    4940.00  1.930548571175332E-05  6.909538915653679E-06 1186943
 248    4940.00    4960.00  2.766120219912042E-05  9.759701090093115E-06 1177136
 249    4960.00    4980.00  6.092705624986581E-06  1.145008197616527E-05 1166716
 250    4980.00    5000.00  2.229002863057788E-05  1.405530846444398E-05 1157738
 251    5000.00    5020.00  8.217218883237293E-06  1.412474482666892E-05 1145561
