# title = Invariant Mass Positron--anti-Muon System
# xlabel = $M_{\text{e}^+\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  1.600E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
#	#	#
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
  25    2400.00    2500.00  1.425899457849059E-08  6.933021854699105E-09 3608906	  25    2400.00    2500.00  1.483178221839545E-08  6.330104364099427E-09 3608906	  25    2400.00    2500.00  1.598403989196220E-08  6.298406524862473E-09 3608906
  26    2500.00    2600.00  1.401620400702697E-08  4.400808295450991E-09 3061536	  26    2500.00    2600.00  1.402693835294933E-08  3.996062119646567E-09 3061536	  26    2500.00    2600.00  1.410480250446337E-08  3.799938317800460E-09 3061536
  27    2600.00    2700.00  1.590533631923751E-08  2.623337322549047E-09 2603240	  27    2600.00    2700.00  1.533043223321774E-08  2.380113967447041E-09 2603240	  27    2600.00    2700.00  1.442156717113467E-08  2.169094166718424E-09 2603240
  28    2700.00    2800.00  5.075456998678582E-09  1.481330660541848E-09 2220689	  28    2700.00    2800.00  5.224747028448916E-09  1.346957441882506E-09 2220689	  28    2700.00    2800.00  5.085176755300382E-09  1.242891157480949E-09 2220689
  29    2800.00    2900.00  4.937243621738860E-09  1.313664184318018E-09 1898387	  29    2800.00    2900.00  4.892038001732061E-09  1.195288196408758E-09 1898387	  29    2800.00    2900.00  4.861683905913011E-09  1.149786345067375E-09 1898387
  30    2900.00    3000.00  4.413387481536387E-09  9.003385615141551E-10 1627740	  30    2900.00    3000.00  4.311074244288035E-09  8.210271800041036E-10 1627740	  30    2900.00    3000.00  4.180907450734756E-09  7.891621580737972E-10 1627740
  31    3000.00    3100.00  2.590500051632469E-09  4.101225709560613E-10 1396147	  31    3000.00    3100.00  2.561506326821316E-09  3.745367110953610E-10 1396147	  31    3000.00    3100.00  2.343250826950117E-09  3.556790474130732E-10 1396147
  32    3100.00    3200.00  1.744228711156430E-09  6.645319211432559E-10 1200776	  32    3100.00    3200.00  1.740282120400159E-09  6.070171372255218E-10 1200776	  32    3100.00    3200.00  1.571465810152942E-09  5.630465465814469E-10 1200776
  33    3200.00    3300.00  1.234513026963875E-09  4.079977996897528E-10 1036342	  33    3200.00    3300.00  1.218673631461997E-09  3.714962340545203E-10 1036342	  33    3200.00    3300.00  1.240326040248480E-09  3.374581676560975E-10 1036342
  34    3300.00    3400.00  8.001020436822726E-10  2.684216241762518E-10 895351	  34    3300.00    3400.00  7.952580656117195E-10  2.439376004284753E-10 895351	  34    3300.00    3400.00  7.545006721971015E-10  2.386483977725457E-10 895351
  35    3400.00    3500.00  6.732129520868433E-10  1.514529405965866E-10 776161	  35    3400.00    3500.00  6.615721748067319E-10  1.382600110691761E-10 776161	  35    3400.00    3500.00  6.574721407868300E-10  1.424377646411382E-10 776161
  36    3500.00    3600.00  2.916736921303768E-10  1.419812321211474E-10 671259	  36    3500.00    3600.00  2.987583146742909E-10  1.292441138857465E-10 671259	  36    3500.00    3600.00  2.777128610832083E-10  1.227596182226042E-10 671259
  37    3600.00    3700.00  3.870531107045223E-10  1.253400513253285E-10 582494	  37    3600.00    3700.00  3.764945000466594E-10  1.146106095710514E-10 582494	  37    3600.00    3700.00  3.740116291441197E-10  9.997347648588180E-11 582494
  38    3700.00    3800.00  3.004052842537491E-10  1.343749766751863E-10 506117	  38    3700.00    3800.00  2.909043836364190E-10  1.228961720747753E-10 506117	  38    3700.00    3800.00  2.542993537417131E-10  1.094593406157223E-10 506117
  39    3800.00    3900.00  8.929465253635148E-11  5.620230964104660E-11 441051	  39    3800.00    3900.00  9.386699803860109E-11  5.114069875705239E-11 441051	  39    3800.00    3900.00  8.808351221242854E-11  5.068083611801788E-11 441051
  40    3900.00    4000.00  1.174372917083901E-10  5.061094420914130E-11 385121	  40    3900.00    4000.00  1.154657409993575E-10  4.602119272171282E-11 385121	  40    3900.00    4000.00  1.105799207207262E-10  4.439259186839572E-11 385121
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                 -6.8119872425396329E-11  3.0937314152910235E-11 200
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
# Sum:                      -1.8991442334620623E-01  2.3430946385550053E-03 140000
#=====================================================================================	#=====================================================================================	#=====================================================================================
# Number of generated events: 45678592
