# title = CMS Energy
# xlabel = $\sqrt{\hat{s}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\sqrt{\hat{s}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  5.000E+02
# xmax=  4.000E+03
# ymin=  1.000E-07
# ymax=  1.000E-03
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
#
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
  76    7500.00    7600.00  4.526474385841818E-06  9.229583553189709E-07 2607520
  77    7600.00    7700.00  2.871388205862451E-06  3.997735360820582E-07 2508380
  78    7700.00    7800.00  2.831701172919705E-06  3.237863748945922E-07 2412323
  79    7800.00    7900.00  2.359112354118313E-06  2.309610962538211E-07 2313948
  80    7900.00    8000.00  1.704195720140683E-06  1.758514175321119E-07 2224520
  81    8000.00    8100.00  1.368744113633285E-06  1.576750509739571E-07 2133134
  82    8100.00    8200.00  1.136938700346710E-06  1.552463344116208E-07 2050718
  83    8200.00    8300.00  9.476927232138154E-07  1.785213975138794E-07 1968102
  84    8300.00    8400.00  9.533035954347080E-07  1.574519841754644E-07 1886637
  85    8400.00    8500.00  7.778535841003458E-07  1.307332605863341E-07 1810733
  86    8500.00    8600.00  5.798359859128494E-07  1.089551561093005E-07 1733904
  87    8600.00    8700.00  5.344550039495062E-07  8.510088861001911E-08 1663597
  88    8700.00    8800.00  4.127747586522296E-07  5.131097449312155E-08 1593568
  89    8800.00    8900.00  3.616142482577515E-07  4.815298559164715E-08 1524364
  90    8900.00    9000.00  2.148200880307305E-07  2.335845046696348E-08 1457293
  91    9000.00    9100.00  1.510137167907194E-07  2.609889795246744E-08 1394210
  92    9100.00    9200.00  1.728707958006559E-07  2.590064273244305E-08 1336087
  93    9200.00    9300.00  1.228075456713265E-07  1.926060805615136E-08 1274601
  94    9300.00    9400.00  1.050902953667907E-07  1.181369440834011E-08 1218736
  95    9400.00    9500.00  6.846822914609746E-08  7.852113710929363E-09 1162507
  96    9500.00    9600.00  5.742130719591182E-08  5.592146336730419E-09 1109030
  97    9600.00    9700.00  4.427463142298387E-08  4.897944215288831E-09 1056592
  98    9700.00    9800.00  2.741603422442243E-08  6.793077282447638E-09 1006560
  99    9800.00    9900.00  2.880513855176644E-08  6.757067593467526E-09 959113
 100    9900.00   10000.00  1.719590376805439E-08  2.276897996432832E-09 910061
 101   10000.00   10100.00  1.417879737378307E-08  1.481473091834509E-09 864344
 102   10100.00   10200.00  7.673104845156285E-09  1.020605301360516E-09 820052
 103   10200.00   10300.00  6.991052953690506E-09  9.055116108067469E-10 778980
 104   10300.00   10400.00  4.350401506968009E-09  1.000378772220478E-09 735152
 105   10400.00   10500.00  3.966394183987935E-09  7.990694245163221E-10 694822
 106   10500.00   10600.00  2.027570931783877E-09  2.834278517150616E-10 655014
 107   10600.00   10700.00  1.776903724193846E-09  2.108616455358448E-10 616179
 108   10700.00   10800.00  1.130414364927832E-09  1.153158086392457E-10 579938
 109   10800.00   10900.00  6.739655941900861E-10  7.714839656357736E-11 545690
 110   10900.00   11000.00  4.426400822291464E-10  6.080513916830078E-11 511297
 111   11000.00   11100.00  2.185872622878197E-10  4.020745946235789E-11 478861
 112   11100.00   11200.00  1.927301989382113E-10  3.448472919770661E-11 445917
 113   11200.00   11300.00  6.105031177580685E-11  3.382469026865581E-11 414178
 114   11300.00   11400.00  9.746064013452689E-11  3.201900051639773E-11 383746
 115   11400.00   11500.00  3.444849288972135E-11  1.191632700190741E-11 353664
 116   11500.00   11600.00  2.108952773477425E-11  4.024330116476236E-12 325347
 117   11600.00   11700.00  9.664409335358614E-12  1.427611016780507E-12 297109
 118   11700.00   11800.00  2.518288392821948E-12  2.356626722170838E-12 270234
 119   11800.00   11900.00  2.558043139875499E-12  5.193597905889359E-13 245079
 120   11900.00   12000.00  8.860575487622932E-13  1.910920034767284E-13 219848
 121   12000.00   12100.00  3.143256790515914E-13  9.238750165739475E-14 195315
 122   12100.00   12200.00  1.698529757421930E-13  7.071479005053045E-14 171699
 123   12200.00   12300.00  3.106196760505420E-14  1.369757391328219E-14 148831
 124   12300.00   12400.00 -8.795933279802994E-15  7.205579401203962E-15 126778
 125   12400.00   12500.00 -4.353246704272658E-15  1.820063497955947E-15 104951
 126   12500.00   12600.00 -2.278781550315633E-15  9.791853164455855E-16 83938
 127   12600.00   12700.00 -1.560323513288524E-15  4.996081186397127E-16 64579
 128   12700.00   12800.00 -3.506815559802000E-16  1.437755019834870E-16 44811
 129   12800.00   12900.00 -2.580482559954975E-17  1.229223536600312E-17 26325
 130   12900.00   13000.00 -7.622945911485959E-19  2.127105871724887E-18 8304
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       1.0470396855789064E+00  2.3198275959741756E-04 237479000
#=====================================================================================
# Number of generated events: 2722077414
