 #         229 :  dS/dz_{e+} (fb/GeV) (NLO)	 #         229 :  dS/dz_{e+} (fb/GeV) (NLO)
-0.500000E-01 0.00000 0.0 0.0	-0.500000E-01 0.00000 0.0 0.0
0.00000 0.500000E-01 4.593983359375002 0.0010860830943748715	0.00000 0.500000E-01 0.6763672812499999 0.0014839735052864943
0.500000E-01 0.100000 4.498767343750001 0.0013296453350695224	0.500000E-01 0.100000 0.6718479999999999 0.0016434276457727715
0.100000 0.150000 4.311167500000001 0.0012349556019962727	0.100000 0.150000 0.6705253125000001 0.0016346979730620884
0.150000 0.200000 4.03222625 0.0012934735242995756	0.150000 0.200000 0.6622240625 0.0020031805014925786
0.200000 0.250000 3.6684432812499996 0.0013384074033156454	0.200000 0.250000 0.6505723125 0.0016053944440610445
0.250000 0.300000 3.2275736718749983 0.001202358905771974	0.250000 0.300000 0.6393510625000002 0.0017118588907885706
0.300000 0.350000 2.7383772656250005 0.001007420291507168	0.300000 0.350000 0.6157936875000002 0.001627493488772467
0.350000 0.400000 2.2405226562499996 0.0009166404985316702	0.350000 0.400000 0.59496865625 0.0016258218486094708
0.400000 0.450000 1.7488295312500006 0.0008961335822224024	0.400000 0.450000 0.5534761562499998 0.0024179569438488625
0.450000 0.500000 1.2992955468749998 0.0008143367503034147	0.450000 0.500000 0.53238071875 0.0024362853259681898
0.500000 0.550000 1.0049895468749999 0.000702740125015117	0.500000 0.550000 0.5013207499999999 0.0027481385684291807
0.550000 0.600000 0.8093909921874999 0.0006762401530158433	0.550000 0.600000 0.48270650000000004 0.0015820067356760263
0.600000 0.650000 0.6481322265624998 0.0006163248795811778	0.600000 0.650000 0.46668665624999994 0.0014355016422090104
0.650000 0.700000 0.5166801796874999 0.0008163253880607658	0.650000 0.700000 0.44467309374999997 0.0016552746361908047
0.700000 0.750000 0.41537505468750024 0.0007898614884953058	0.700000 0.750000 0.41775599999999996 0.0017159813573545547
0.750000 0.800000 0.34065084375000004 0.0004813988362154743	0.750000 0.800000 0.3954978437500001 0.001448626724325652
0.800000 0.850000 0.282679015625 0.0005031160733911377	0.800000 0.850000 0.37569909375000005 0.00196452521856969
0.850000 0.900000 0.2396153359375001 0.0005330199955430092	0.850000 0.900000 0.35240596875 0.0019126994544784622
0.900000 0.950000 0.2048780703125002 0.0005180814504669198	0.900000 0.950000 0.3322416250000001 0.0022832528686631695
0.950000 1.00000 0.17815621093749995 0.00046509765241593343	0.950000 1.00000 0.31248271874999994 0.001497386972848778
1.00000 1.05000 0.1565989140625 0.0004118994720393811	1.00000 1.05000 0.29399156249999997 0.0016410964597340584
1.05000 1.10000 0.13863469531249997 0.00038644420256515145	1.05000 1.10000 0.2739546875 0.002138184127417226
1.10000 1.15000 0.12564839843749998 0.0007306819238271252	1.10000 1.15000 0.2632085625000001 0.001840015760688726
1.15000 1.20000 0.11189023984374999 0.0007318454926850737	1.15000 1.20000 0.25012768750000003 0.0016189892835511957
1.20000 1.25000 0.10288382109375002 0.0003338885701710149	1.20000 1.25000 0.23544346875000002 0.0016458426828681368
1.25000 1.30000 0.09384958125000001 0.0003349207608745429	1.25000 1.30000 0.22047284375 0.002267679252228928
1.30000 1.35000 0.08772818593750001 0.0005902495258044188	1.30000 1.35000 0.21383900000000003 0.0023728538128911054
1.35000 1.40000 0.08022245859375 0.0005965305457966261	1.35000 1.40000 0.19801415625000002 0.0016391286962808887
1.40000 1.45000 0.07557575937500002 0.0004107929353816057	1.40000 1.45000 0.18965278125 0.0013978669129382452
1.45000 1.50000 0.071308828125 0.00027545843276381027	1.45000 1.50000 0.18223009375000002 0.001341790575848533
1.50000 1.55000 3.0473143750000005 0.0008743537416585575	1.50000 1.55000 6.8189040625000015 0.008123765756928697
