 #         226 :  dS/dy_{j1} (fb/GeV) (NLO)	 #         226 :  dS/dy_{j1} (fb/GeV) (NLO)
-5.50000 -5.00000 0.0 0.0	-5.50000 -5.00000 0.0 0.0
-5.00000 -4.50000 0.0 0.0	-5.00000 -4.50000 0.0 0.0
-4.50000 -4.00000 0.021502354330708663 3.2990327563116796e-05	-4.50000 -4.00000 0.00041368434375 2.3712317787070075e-06
-4.00000 -3.50000 0.07475870078740159 5.185760917447965e-05	-4.00000 -3.50000 0.0014712265625000003 6.0345809870178186e-06
-3.50000 -3.00000 0.1690011968503937 6.661942995862694e-05	-3.50000 -3.00000 0.003895259375000001 8.454441531603882e-06
-3.00000 -2.50000 0.26775536220472435 7.313268203344851e-05	-3.00000 -2.50000 0.008134758125 1.261702391049869e-05
-2.50000 -2.00000 0.31585094488188986 8.257118232257055e-05	-2.50000 -2.00000 0.013185840625 1.8720415800791954e-05
-2.00000 -1.50000 0.2965400787401574 8.180098930743213e-05	-2.00000 -1.50000 0.017468693749999997 1.823009894454901e-05
-1.50000 -1.00000 0.234082251968504 8.0130420531026e-05	-1.50000 -1.00000 0.019775421874999997 1.9405383440039043e-05
-1.00000 -0.500000 0.16696955905511823 0.00010613995857192788	-1.00000 -0.500000 0.02047469375 2.068683882149644e-05
-0.500000 0.00000 0.12634692125984254 7.995774149726012e-05	-0.500000 0.00000 0.020440068750000002 2.1453581412820645e-05
0.00000 0.500000 0.12619988976377955 6.852122527149425e-05	0.00000 0.500000 0.020457003124999994 2.206892727208166e-05
0.500000 1.00000 0.16710737795275596 7.287878800163933e-05	0.500000 1.00000 0.020453396875 1.9723441920209635e-05
1.00000 1.50000 0.2339794881889765 7.654888106249266e-05	1.00000 1.50000 0.0197633625 2.011679012413987e-05
1.50000 2.00000 0.29677231496062995 8.306563703164281e-05	1.50000 2.00000 0.017452040625 1.779833092181378e-05
2.00000 2.50000 0.31588256692913386 7.794882166767981e-05	2.00000 2.50000 0.013181146874999997 1.554272172303698e-05
2.50000 3.00000 0.26765689763779527 7.631197019602021e-05	2.50000 3.00000 0.00811431625 1.1705008751342474e-05
3.00000 3.50000 0.16894941732283464 7.529709238395363e-05	3.00000 3.50000 0.0038873715625 9.036417333975854e-06
3.50000 4.00000 0.0747338456692913 4.8990874994478894e-05	3.50000 4.00000 0.0014650131250000006 8.013811001330692e-06
4.00000 4.50000 0.0215067503937008 4.253414203250072e-05	4.00000 4.50000 0.0004153194062500001 2.598931000807355e-06
4.50000 5.00000 0.0 0.0	4.50000 5.00000 0.0 0.0
5.00000 5.50000 0.0 0.0	5.00000 5.50000 0.0 0.0
