 #         234 :  dS/dz_{j3} (fb/GeV) (NLO)	 #         234 :  dS/dz_{j3} (fb/GeV) (NLO)
-0.500000E-01 0.00000 0.0 0.0	-0.500000E-01 0.00000 0.0 0.0
0.00000 0.500000E-01 0.16947632031250004 9.466596518295594e-05	0.00000 0.500000E-01 0.19865624999999998 0.00045015871536030906
0.500000E-01 0.100000 0.18196553906250004 0.0001006277285453737	0.500000E-01 0.100000 0.20014925 0.0004451835933094942
0.100000 0.150000 0.20848944531249994 0.00010671951326990015	0.100000 0.150000 0.20246787500000002 0.00045786876723540336
0.150000 0.200000 0.25197751562500004 0.00012024671745474813	0.150000 0.200000 0.204154 0.0004862672231169113
0.200000 0.250000 0.3180949609374999 0.0001339714445149957	0.200000 0.250000 0.20502440625000004 0.0004535622946785828
0.250000 0.300000 0.4171085312499996 0.00016436414218010212	0.250000 0.300000 0.20249043750000006 0.00044738441699518014
0.300000 0.350000 0.5636897734375003 0.00020734671664539444	0.300000 0.350000 0.1979650625 0.0004451808766714984
0.350000 0.400000 0.7636809765625002 0.000270986925229587	0.350000 0.400000 0.18881134375000003 0.0004129872345043782
0.400000 0.450000 0.8712619218749998 0.00031033259926003376	0.400000 0.450000 0.18074099999999999 0.0004142558189244817
0.450000 0.500000 0.8143656093750002 0.00031184324338774465	0.450000 0.500000 0.17292931250000002 0.00038838246025784615
0.500000 0.550000 0.8507082031249997 0.00032786516254303214	0.500000 0.550000 0.16556340625000002 0.00040299923564380636
0.550000 0.600000 0.9955541640625003 0.00037122760024186697	0.550000 0.600000 0.1583386875 0.00039219894146258857
0.600000 0.650000 0.9804202109375003 0.0003653206578720403	0.600000 0.650000 0.15179668749999997 0.00038698487403594626
0.650000 0.700000 0.8018839218749999 0.0003086608550762216	0.650000 0.700000 0.14520096875 0.0003658239506651709
0.700000 0.750000 0.6448752734374998 0.00025890142656122907	0.700000 0.750000 0.13786465624999994 0.00034432087585834154
0.750000 0.800000 0.5254832500000003 0.00022023414584072915	0.750000 0.800000 0.12911046875 0.0003352157187306139
0.800000 0.850000 0.4334903828125 0.00019901178189169543	0.800000 0.850000 0.12013484374999998 0.00034438159432987063
0.850000 0.900000 0.3620839765625 0.00017065492703197311	0.850000 0.900000 0.11074081250000001 0.0003090933057846116
0.900000 0.950000 0.3055538203125 0.00015451274606534984	0.900000 0.950000 0.10196934687499998 0.0002948196460435799
0.950000 1.00000 0.25994401562500014 0.00014348213988644732	0.950000 1.00000 0.09394104374999998 0.0003082392274582243
1.00000 1.05000 0.22267401562500003 0.00012507045676620355	1.00000 1.05000 0.086618028125 0.00027866278426141557
1.05000 1.10000 0.19237897656249991 0.00013027283693859085	1.05000 1.10000 0.08023499062499999 0.000281080452628954
1.10000 1.15000 0.16695931249999998 0.00011235086825074025	1.10000 1.15000 0.07423395625000002 0.00025815492544902906
1.15000 1.20000 0.1460756328125 0.00010076300527421983	1.15000 1.20000 0.068337571875 0.0002573312084630386
1.20000 1.25000 0.1285523046875 9.215256212268803e-05	1.20000 1.25000 0.06344450625 0.00023317148085323392
1.25000 1.30000 0.1138521796875 8.470037942592805e-05	1.25000 1.30000 0.05928518125000001 0.00022282990201365926
1.30000 1.35000 0.101429715625 8.18740794663084e-05	1.30000 1.35000 0.055692915625000006 0.00021979161751943494
1.35000 1.40000 0.09112431093749998 7.455998246382109e-05	1.35000 1.40000 0.05229943125 0.00024854273014676887
1.40000 1.45000 0.08218836953125004 7.302198603411562e-05	1.40000 1.45000 0.04949315937500001 0.00022696230669916762
1.45000 1.50000 0.07438104296874998 6.556655471102401e-05	1.45000 1.50000 0.045714728125 0.0002042118207016389
1.50000 1.55000 2.805825234374999 0.0004386467686907229	1.50000 1.55000 1.8063953125000003 0.0013352995841559568
