 #         232 :  dS/dp_{T,j3} (fb/GeV) (NLO)	 #         232 :  dS/dp_{T,j3} (fb/GeV) (NLO)
-10.0000 0.00000 0.0 0.0	-10.0000 0.00000 0.0 0.0
0.00000 10.0000 0.0 0.0	0.00000 10.0000 0.0 0.0
10.0000 20.0000 0.0 0.0	10.0000 20.0000 0.0 0.0
20.0000 30.0000 0.0 0.0	20.0000 30.0000 0.0 0.0
30.0000 40.0000 0.01689824488188976 2.965896442093188e-06	30.0000 40.0000 0.0017770787500000006 1.2096736374700167e-06
40.0000 50.0000 0.010765237007874023 2.3060073091101725e-06	40.0000 50.0000 0.0008852658750000001 7.787022957026756e-07
50.0000 60.0000 0.007133652440944879 1.7925200031243288e-06	50.0000 60.0000 0.0004650744687499999 5.362557715757844e-07
60.0000 70.0000 0.004851660787401576 1.443307072627808e-06	60.0000 70.0000 0.00026674946875 4.1156898637257644e-07
70.0000 80.0000 0.003370155433070866 1.211482345616333e-06	70.0000 80.0000 0.00016052903125000003 3.3147759098069246e-07
80.0000 90.0000 0.0023856074803149615 1.0273002215342169e-06	80.0000 90.0000 0.00010153194374999998 2.678442649428824e-07
90.0000 100.000 0.0017130424409448814 8.701372605288909e-07	90.0000 100.000 6.612615000000001e-05 2.3071466964773835e-07
100.000 110.000 0.0012521544881889763 7.738786302004326e-07	100.000 110.000 4.4407821875e-05 1.8178168933370495e-07
110.000 120.000 0.0009254483543307082 6.764186223527299e-07	110.000 120.000 2.979909375000001e-05 1.5656519283278324e-07
120.000 130.000 0.0006924925196850396 6.031307733497083e-07	120.000 130.000 2.0631231249999997e-05 1.2738175853077466e-07
130.000 140.000 0.0005244858031496062 5.225116733821681e-07	130.000 140.000 1.4045728125000003e-05 1.0562401992757214e-07
140.000 150.000 0.0004012077007874014 4.719354018273821e-07	140.000 150.000 9.392381875e-06 8.570346262530352e-08
150.000 160.000 0.00030981972440944874 4.331002177423694e-07	150.000 160.000 6.432806874999999e-06 7.137632288877082e-08
160.000 170.000 0.0002414547874015748 3.8890442375612164e-07	160.000 170.000 4.015788125000001e-06 5.5125257153178905e-08
170.000 180.000 0.00018917939370078732 3.7831282676911003e-07	170.000 180.000 2.5789784374999987e-06 5.295417395170306e-08
180.000 190.000 0.00014967470078740153 3.317465602936972e-07	180.000 190.000 1.3896434374999999e-06 3.228660012822415e-08
190.000 200.000 0.00011862103937007869 2.9061857186587546e-07	190.000 200.000 6.53559875e-07 2.153812457790328e-08
200.000 210.000 9.55910062992126e-05 2.813714519982825e-07	200.000 210.000 2.7568278125e-07 1.2887054738904293e-08
210.000 220.000 7.685450000000003e-05 2.6794854935353423e-07	210.000 220.000 1.7295446875e-07 9.464859088544111e-09
220.000 230.000 6.224424409448819e-05 2.459811642893385e-07	220.000 230.000 1.48677840625e-07 2.3065789683164092e-08
230.000 240.000 4.99309188976378e-05 2.080101891601284e-07	230.000 240.000 9.507040624999998e-08 6.766699701328736e-09
240.000 250.000 4.165870551181105e-05 2.3234236539541407e-07	240.000 250.000 7.579301249999999e-08 6.904144956141447e-09
250.000 260.000 3.3798320472440954e-05 1.8590393894883038e-07	250.000 260.000 4.50995625e-08 2.9361067732877145e-09
260.000 270.000 2.7982347244094485e-05 1.891334660322137e-07	260.000 270.000 4.4524312500000004e-08 5.337187587684766e-09
270.000 280.000 2.3138629133858282e-05 1.5831975422363426e-07	270.000 280.000 3.297069375e-08 2.8455393395156142e-09
280.000 290.000 1.9140710236220472e-05 1.636731244163722e-07	280.000 290.000 2.3523818437499996e-08 2.189512313175107e-09
290.000 300.000 1.5639570078740162e-05 1.448229681888016e-07	290.000 300.000 2.44464828125e-08 4.542416424285864e-09
300.000 310.000 1.3123607874015751e-05 1.2386374918608728e-07	300.000 310.000 2.1797233124999995e-08 4.243130300265668e-09
310.000 320.000 1.1013173464566932e-05 1.1923799800071984e-07	310.000 320.000 1.5765971874999998e-08 3.6933828460231158e-09
320.000 330.000 9.490560078740158e-06 1.292385097004449e-07	320.000 330.000 1.4822396250000003e-08 5.814601924073255e-09
330.000 340.000 7.927839291338584e-06 1.0947620135340873e-07	330.000 340.000 9.531793406249999e-09 1.3402693190322366e-09
340.000 350.000 6.568100944881889e-06 9.43588379274024e-08	340.000 350.000 1.0022171437500002e-08 2.5959307349427593e-09
350.000 360.000 5.695725039370078e-06 1.1004677494051781e-07	350.000 360.000 3.80302265625e-09 6.243276418083776e-10
360.000 370.000 4.678934645669292e-06 7.773485473467243e-08	360.000 370.000 4.2954961875e-09 1.0187509558575467e-09
370.000 380.000 3.997690157480316e-06 8.039040510140364e-08	370.000 380.000 2.1849580125000007e-09 3.9441104326154717e-10
380.000 390.000 3.5277459842519708e-06 7.631300052243103e-08	380.000 390.000 2.7971613437500006e-09 3.099977374276492e-09
390.000 400.000 2.916187007874017e-06 6.330347551059894e-08	390.000 400.000 1.9173664453125e-09 5.091368119690598e-10
400.000 410.000 2.5533424409448817e-06 6.649960178271536e-08	400.000 410.000 1.5030610458749997e-09 4.0575033209376587e-10
410.000 420.000 2.049532007874016e-06 5.9052066393693456e-08	410.000 420.000 1.1161311428124998e-09 3.5407615492281186e-10
420.000 430.000 1.8819834330708658e-06 6.219164247800878e-08	420.000 430.000 8.937492995625002e-10 2.83515382245256e-10
430.000 440.000 1.5170749291338584e-06 4.5172241969372354e-08	430.000 440.000 1.1557507231433438e-09 3.345857839671469e-10
440.000 450.000 1.3443888503937007e-06 4.740815490746606e-08	440.000 450.000 1.00153970036875e-09 5.849958184122661e-10
450.000 460.000 1.1982273858267714e-06 4.5997797408695386e-08	450.000 460.000 4.4848485041250006e-10 1.5658096093546957e-10
460.000 470.000 1.0665045196850392e-06 6.408765119702446e-08	460.000 470.000 2.2444653634843753e-09 1.7665845035389906e-09
470.000 480.000 8.641888031496059e-07 3.434234554491071e-08	470.000 480.000 1.14081513721875e-09 6.544045435402847e-10
480.000 490.000 7.53550653543307e-07 3.7682478939048406e-08	480.000 490.000 6.235848782043469e-10 3.325398942989614e-10
490.000 500.000 6.74524968503937e-07 3.656280637073416e-08	490.000 500.000 1.7291764578231246e-10 5.672981808830214e-11
500.000 510.000 5.678852755905513e-07 3.674552914278205e-08	500.000 510.000 3.3428926864985496e-10 1.281053059610588e-10
510.000 520.000 5.032114488188975e-07 3.0362551816619684e-08	510.000 520.000 1.8958208990390003e-10 4.027711348725638e-11
520.000 530.000 4.824907637795274e-07 4.074483587338296e-08	520.000 530.000 5.7408936615373745e-09 4.411238194181128e-09
530.000 540.000 3.711473283464569e-07 2.8583347825551206e-08	530.000 540.000 1.3063915585803968e-09 8.964265635767871e-10
540.000 550.000 3.131024921259844e-07 2.5193830255279348e-08	540.000 550.000 4.475223895078357e-11 2.1306744569630477e-11
550.000 560.000 2.6304672204724404e-07 2.106933555245919e-08	550.000 560.000 1.2025637534738087e-10 6.502427215465198e-11
560.000 570.000 2.0688627007874017e-07 1.3527430323602137e-08	560.000 570.000 3.4584524944212755e-11 1.836962907840243e-11
570.000 580.000 2.3132911417322839e-07 2.158419410896485e-08	570.000 580.000 6.180993220705437e-11 2.672749077793778e-11
580.000 590.000 1.956129428346457e-07 1.5526869941047465e-08	580.000 590.000 9.979128555450902e-12 5.568189054390582e-12
590.000 600.000 1.3325035039370084e-07 1.0398387152059169e-08	590.000 600.000 1.2932944761713746e-10 8.000357102729251e-11
600.000 610.000 1.2038244645669293e-07 1.0623554921781092e-08	600.000 610.000 1.0961258250659689e-11 5.803365581682353e-12
610.000 620.000 1.796736013385828e-07 2.6444104865504024e-08	610.000 620.000 1.8399917368577208e-11 1.4700264928824223e-11
620.000 630.000 1.222713409842519e-07 1.3307267162491246e-08	620.000 630.000 1.071565538622492e-10 5.959184887094801e-11
630.000 640.000 1.1603492685039367e-07 1.5811229333474276e-08	630.000 640.000 3.652669758591791e-12 1.5334907099920144e-12
640.000 650.000 8.881275125984248e-08 1.0372686348168193e-08	640.000 650.000 2.5539801789971933e-12 6.367047464567072e-14
650.000 660.000 7.453350070866142e-08 8.160990578989796e-09	650.000 660.000 2.5988815330725313e-13 7.396127751386267e-14
660.000 670.000 7.2063712968504e-08 1.0764405201796686e-08	660.000 670.000 5.709760523104163e-10 1.0531089432427638e-17
670.000 680.000 4.08380312598425e-08 5.22079434072552e-09	670.000 680.000 2.6870829401687278e-11 1.5880989110078188e-11
680.000 690.000 5.651429201574803e-08 1.1023649309188497e-08	680.000 690.000 2.0047287188134723e-12 4.226375e-16
690.000 700.000 3.8523006275590556e-08 7.250988973409746e-09	690.000 700.000 5.5977228465290034e-14 1.7450107153201184e-15
700.000 710.000 4.938889251181102e-08 1.583008677949363e-08	700.000 710.000 4.520607579307324e-12 3.103462391598581e-12
710.000 720.000 4.595289965511812e-08 8.860935277391946e-09	710.000 720.000 2.4727994170531256e-14 1.7432968919633328e-14
