 #         227 :  dS/dy_{j2} (fb/GeV) (NLO)	 #         227 :  dS/dy_{j2} (fb/GeV) (NLO)
-5.50000 -5.00000 0.0 0.0	-5.50000 -5.00000 0.0 0.0
-5.00000 -4.50000 0.0 0.0	-5.00000 -4.50000 0.0 0.0
-4.50000 -4.00000 0.0719921440944882 5.794647205855684e-05	-4.50000 -4.00000 0.0016152240624999997 7.0582064526716104e-06
-4.00000 -3.50000 0.15777873228346456 6.76262074460082e-05	-4.00000 -3.50000 0.0037807309375 8.83527955042898e-06
-3.50000 -3.00000 0.24434792913385836 7.956241668581635e-05	-3.50000 -3.00000 0.007144767812499999 1.2598061187782944e-05
-3.00000 -2.50000 0.2945444015748031 7.920603738213017e-05	-3.00000 -2.50000 0.011545231249999996 1.567371520964935e-05
-2.50000 -2.00000 0.28895814173228335 8.058070091413525e-05	-2.50000 -2.00000 0.0155467875 1.7157364649072427e-05
-2.00000 -1.50000 0.2411152204724409 7.713869251408307e-05	-2.00000 -1.50000 0.017785171875 1.8121057441242458e-05
-1.50000 -1.00000 0.17510700000000004 7.757301347899347e-05	-1.50000 -1.00000 0.017504309375000002 1.8500200461299116e-05
-1.00000 -0.500000 0.11647686614173232 7.359690666733637e-05	-1.00000 -0.500000 0.015829309375 1.9463521069856252e-05
-0.500000 0.00000 0.0822871677165354 7.407731899262149e-05	-0.500000 0.00000 0.014458265625000001 1.7338923183905145e-05
0.00000 0.500000 0.08254960787401576 6.494554388199225e-05	0.00000 0.500000 0.014475753124999999 1.8335977259925472e-05
0.500000 1.00000 0.11635486614173228 7.2214124539987e-05	0.500000 1.00000 0.01582771875 1.848955859310786e-05
1.00000 1.50000 0.17512178740157486 7.604669508388563e-05	1.00000 1.50000 0.01751934375 1.781727623648072e-05
1.50000 2.00000 0.24109846456692918 8.383777012500475e-05	1.50000 2.00000 0.017757746875000004 1.7649482484422027e-05
2.00000 2.50000 0.28904924409448823 8.143842884448694e-05	2.00000 2.50000 0.0155708125 2.0980726978332194e-05
2.50000 3.00000 0.29474439370078764 8.534050055954956e-05	2.50000 3.00000 0.011520146875000001 1.5699074432653417e-05
3.00000 3.50000 0.24437792913385828 9.541286754983522e-05	3.00000 3.50000 0.007160102812500001 1.4309784128445304e-05
3.50000 4.00000 0.1577225826771654 7.344083178949808e-05	3.50000 4.00000 0.0037902475 8.09396570434031e-06
4.00000 4.50000 0.07196917086614174 9.534844551990998e-05	4.00000 4.50000 0.0016169365625000002 6.628635867890318e-06
4.50000 5.00000 0.0 0.0	4.50000 5.00000 0.0 0.0
5.00000 5.50000 0.0 0.0	5.00000 5.50000 0.0 0.0
