 #         224 :  dS/dp_{T,j1} (fb/GeV) (NLO)	 #         224 :  dS/dp_{T,j1} (fb/GeV) (NLO)
-25.0000 0.00000 0.0 0.0	-25.0000 0.00000 0.0 0.0
0.00000 25.0000 0.0 0.0	0.00000 25.0000 0.0 0.0
25.0000 50.0000 0.0008341987716535432 8.35585927741445e-07	25.0000 50.0000 0.00015419109374999998 3.189587605447179e-07
50.0000 75.0000 0.0038921577165354332 1.6452480833064086e-06	50.0000 75.0000 0.00064541409375 5.604415231926137e-07
75.0000 100.000 0.006659248503937005 2.2953540656151617e-06	75.0000 100.000 0.0007866954374999999 5.825920028999444e-07
100.000 125.000 0.007803784488188975 2.4036187012422795e-06	100.000 125.000 0.0006411290312499999 5.095106518797289e-07
125.000 150.000 0.007698438188976376 2.332644823977802e-06	125.000 150.000 0.0004752315937499999 4.0861836075068644e-07
150.000 175.000 0.006943951259842518 2.8725631813961734e-06	150.000 175.000 0.0003468202500000001 4.2697448407358295e-07
175.000 200.000 0.005956962204724409 2.812126018430431e-06	175.000 200.000 0.00025504340624999994 3.0480017506175387e-07
200.000 225.000 0.004966647952755905 2.445324915297716e-06	200.000 225.000 0.00019000615625000002 2.646482649661799e-07
225.000 250.000 0.0040800937795275605 1.689593723733881e-06	225.000 250.000 0.00014303381249999996 2.1531490686154751e-07
250.000 275.000 0.003317254173228347 1.5045672632613002e-06	250.000 275.000 0.00010862740625 1.7696301199838078e-07
275.000 300.000 0.002689513543307088 1.379251834021954e-06	275.000 300.000 8.384281875000001e-05 1.7119483462679162e-07
300.000 325.000 0.002174915669291338 1.291065226486051e-06	300.000 325.000 6.518585312500001e-05 2.2686932901910757e-07
325.000 350.000 0.001758582519685039 1.210263753119129e-06	325.000 350.000 5.0954378125e-05 1.4734664051952005e-07
350.000 375.000 0.0014260400000000004 1.0877773976453028e-06	350.000 375.000 4.000011875000001e-05 1.1698827506657967e-07
375.000 400.000 0.0011595057480314965 1.5402701738711084e-06	375.000 400.000 3.2448234375000004e-05 1.0593624513035356e-07
400.000 425.000 0.0009429118661417327 1.4475753571318508e-06	400.000 425.000 2.9089403125e-05 1.0285903117930631e-07
425.000 450.000 0.0007742369055118109 2.4312091594693337e-06	425.000 450.000 2.5296625000000003e-05 9.8537315818852e-08
450.000 475.000 0.0006296039527559054 2.4186850748120218e-06	450.000 475.000 2.1525215625e-05 9.324774302949497e-08
475.000 500.000 0.0005214944173228346 7.140982438817794e-07	475.000 500.000 1.8240431250000003e-05 7.98033586680545e-08
500.000 525.000 0.00043009758267716547 7.253624777070716e-07	500.000 525.000 1.53024875e-05 8.1222615258947e-08
525.000 550.000 0.00035539979527559045 6.340395068826815e-07	525.000 550.000 1.2717784375e-05 7.069066872554155e-08
550.000 575.000 0.00029554876377952755 1.0720079012031344e-06	550.000 575.000 1.0678896875000003e-05 6.283774311908254e-08
575.000 600.000 0.00024571913385826766 1.0558474776657282e-06	575.000 600.000 9.07212125e-06 6.912364853100062e-08
600.000 625.000 0.00020530636220472437 5.040237005462582e-07	600.000 625.000 7.6648871875e-06 6.824986902039287e-08
625.000 650.000 0.00017209574803149619 4.786265638829169e-07	625.000 650.000 6.223935e-06 6.399793688820965e-08
650.000 675.000 0.00014449454330708671 4.7116070810081033e-07	650.000 675.000 5.386845312500001e-06 5.6836036766562804e-08
675.000 700.000 0.00012112504724409441 4.4287119625043714e-07	675.000 700.000 4.48598875e-06 5.395839389105956e-08
700.000 725.000 0.0001031613173228347 4.360693665715417e-07	700.000 725.000 3.7987678125e-06 5.2376903400275185e-08
725.000 750.000 8.701623228346461e-05 3.903880776470705e-07	725.000 750.000 3.18102e-06 5.042934930931335e-08
750.000 775.000 7.321430236220474e-05 3.9706159340327667e-07	750.000 775.000 2.661454375e-06 3.663256447828706e-08
775.000 800.000 6.295996614173226e-05 3.829596103783444e-07	775.000 800.000 2.2307350000000004e-06 3.1810182498855736e-08
800.000 825.000 5.360831102362203e-05 2.948374852299591e-07	800.000 825.000 1.91117375e-06 3.5059531267258175e-08
825.000 850.000 4.5245033070866146e-05 2.593624482236006e-07	825.000 850.000 1.6045884375000003e-06 2.761395969556346e-08
850.000 875.000 3.89641440944882e-05 2.705674545046955e-07	850.000 875.000 1.3578428124999998e-06 2.9149053308582794e-08
875.000 900.000 3.3198913385826754e-05 2.614372140691324e-07	875.000 900.000 1.1668509375e-06 3.992566088834746e-08
900.000 925.000 2.856008267716537e-05 2.2706143660843554e-07	900.000 925.000 1.01463303125e-06 2.6521162370260778e-08
925.000 950.000 2.431284330708662e-05 2.58617181807402e-07	925.000 950.000 8.1670225e-07 2.1120305894983755e-08
950.000 975.000 2.1011500000000004e-05 1.9195168853975491e-07	950.000 975.000 7.434287499999998e-07 2.047465806047751e-08
975.000 1000.00 1.8016220472440944e-05 1.9358056601222097e-07	975.000 1000.00 6.085010625000002e-07 1.5520882033641858e-08
1000.00 1025.00 0.0001233178267716535 7.028136598722581e-07	1000.00 1025.00 3.5678287499999994e-06 4.572984436479016e-08
