#factorization_scale       cross_section_fb           cross_section_error_fb
0.5                        1.562881521673118E+000     6.988587172593464E-004
1.0                        1.437399419955909E+000     6.427480911952443E-004
2.0                        1.329575118620838E+000     5.945333341100470E-004
