#scale factor(Factorisation scale)   scale factor2(Renormalisation scale)    xsection value       xsection error
 0.5000000000  0.5000000000  1.559807742316E+00   1.551649116605E-04
 0.5000000000  1.0000000000  1.559807742316E+00   1.551649116605E-04
 1.0000000000  0.5000000000  1.434738406939E+00   1.403378806894E-04
 1.0000000000  1.0000000000  1.434738406939E+00   1.403378806894E-04
 1.0000000000  2.0000000000  1.434738406939E+00   1.403378806894E-04
 2.0000000000  1.0000000000  1.327249486746E+00   1.281281016476E-04
 2.0000000000  2.0000000000  1.327249486746E+00   1.281281016476E-04
