# title = Transverse Momentum Harder Jet
# xlabel = $p_{\text{T},\text{j}_1}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -1.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
#	#	#	#	#	#	#
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      25.00      50.00  2.982617641042729E-04  2.537184135254899E-07 18788346	   2      25.00      50.00  2.982617641042729E-04  2.537184135254899E-07 18788346	   2      25.00      50.00  2.822454881830498E-04  2.353218967146578E-07 18788346	   2      25.00      50.00  2.822454881830498E-04  2.353218967146578E-07 18788346	   2      25.00      50.00  3.154265745485443E-04  2.753751054981181E-07 18788346	   2      25.00      50.00  3.154265745485443E-04  2.753751054981181E-07 18788346	   2      25.00      50.00  2.982617641042729E-04  2.537184135254899E-07 18788346
   3      50.00      75.00  2.054410423973830E-03  7.464581202889158E-07 98352604	   3      50.00      75.00  2.054410423973830E-03  7.464581202889158E-07 98352604	   3      50.00      75.00  1.931379140452527E-03  6.878756345118320E-07 98352604	   3      50.00      75.00  1.931379140452527E-03  6.878756345118320E-07 98352604	   3      50.00      75.00  2.191021480704681E-03  8.167831997348424E-07 98352604	   3      50.00      75.00  2.191021480704681E-03  8.167831997348424E-07 98352604	   3      50.00      75.00  2.054410423973830E-03  7.464581202889158E-07 98352604
   4      75.00     100.00  4.361548427969527E-03  1.102404439998979E-06 189348635	   4      75.00     100.00  4.361548427969527E-03  1.102404439998979E-06 189348635	   4      75.00     100.00  4.084334165275366E-03  1.012929302670960E-06 189348635	   4      75.00     100.00  4.084334165275366E-03  1.012929302670960E-06 189348635	   4      75.00     100.00  4.674900347014568E-03  1.210549363956303E-06 189348635	   4      75.00     100.00  4.674900347014568E-03  1.210549363956303E-06 189348635	   4      75.00     100.00  4.361548427969527E-03  1.102404439998979E-06 189348635
   5     100.00     125.00  5.944448188455074E-03  1.307897158096548E-06 262069648	   5     100.00     125.00  5.944448188455074E-03  1.307897158096548E-06 262069648	   5     100.00     125.00  5.554788511858247E-03  1.207211158341170E-06 262069648	   5     100.00     125.00  5.554788511858247E-03  1.207211158341170E-06 262069648	   5     100.00     125.00  6.388531036128706E-03  1.429149204559678E-06 262069648	   5     100.00     125.00  6.388531036128706E-03  1.429149204559678E-06 262069648	   5     100.00     125.00  5.944448188455074E-03  1.307897158096548E-06 262069648
   6     125.00     150.00  6.535125890065089E-03  1.275052967899383E-06 304855972	   6     125.00     150.00  6.535125890065089E-03  1.275052967899383E-06 304855972	   6     125.00     150.00  6.096228184830416E-03  1.169963768314834E-06 304855972	   6     125.00     150.00  6.096228184830416E-03  1.169963768314834E-06 304855972	   6     125.00     150.00  7.037917706776641E-03  1.401897188565675E-06 304855972	   6     125.00     150.00  7.037917706776641E-03  1.401897188565675E-06 304855972	   6     125.00     150.00  6.535125890065089E-03  1.275052967899383E-06 304855972
   7     150.00     175.00  6.315600819196972E-03  1.224968156450894E-06 310429211	   7     150.00     175.00  6.315600819196972E-03  1.224968156450894E-06 310429211	   7     150.00     175.00  5.878371537618561E-03  1.124733525549115E-06 310429211	   7     150.00     175.00  5.878371537618561E-03  1.124733525549115E-06 310429211	   7     150.00     175.00  6.818995816428950E-03  1.345523828124159E-06 310429211	   7     150.00     175.00  6.818995816428950E-03  1.345523828124159E-06 310429211	   7     150.00     175.00  6.315600819196972E-03  1.224968156450894E-06 310429211
   8     175.00     200.00  5.637048388983068E-03  1.108521861847060E-06 293884004	   8     175.00     200.00  5.637048388983068E-03  1.108521861847060E-06 293884004	   8     175.00     200.00  5.232465453466161E-03  1.016700512174765E-06 293884004	   8     175.00     200.00  5.232465453466161E-03  1.016700512174765E-06 293884004	   8     175.00     200.00  6.105302613952300E-03  1.219149029144052E-06 293884004	   8     175.00     200.00  6.105302613952300E-03  1.219149029144052E-06 293884004	   8     175.00     200.00  5.637048388983068E-03  1.108521861847060E-06 293884004
   9     200.00     225.00  4.808228964937811E-03  9.992565209810735E-07 269205539	   9     200.00     225.00  4.808228964937811E-03  9.992565209810735E-07 269205539	   9     200.00     225.00  4.450483338332375E-03  9.154785608438448E-07 269205539	   9     200.00     225.00  4.450483338332375E-03  9.154785608438448E-07 269205539	   9     200.00     225.00  5.224307462520390E-03  1.100042591554545E-06 269205539	   9     200.00     225.00  5.224307462520390E-03  1.100042591554545E-06 269205539	   9     200.00     225.00  4.808228964937811E-03  9.992565209810735E-07 269205539
  10     225.00     250.00  3.994732396325419E-03  8.688068339132855E-07 242779249	  10     225.00     250.00  3.994732396325419E-03  8.688068339132855E-07 242779249	  10     225.00     250.00  3.687083078723745E-03  7.944187468367305E-07 242779249	  10     225.00     250.00  3.687083078723745E-03  7.944187468367305E-07 242779249	  10     225.00     250.00  4.354166092639145E-03  9.584325787717252E-07 242779249	  10     225.00     250.00  4.354166092639145E-03  9.584325787717252E-07 242779249	  10     225.00     250.00  3.994732396325419E-03  8.688068339132855E-07 242779249
  11     250.00     275.00  3.270315927515205E-03  7.626007261789654E-07 217366591	  11     250.00     275.00  3.270315927515205E-03  7.626007261789654E-07 217366591	  11     250.00     275.00  3.010251517860629E-03  6.964370579835766E-07 217366591	  11     250.00     275.00  3.010251517860629E-03  6.964370579835766E-07 217366591	  11     250.00     275.00  3.575400809687984E-03  8.423411752673324E-07 217366591	  11     250.00     275.00  3.575400809687984E-03  8.423411752673324E-07 217366591	  11     250.00     275.00  3.270315927515205E-03  7.626007261789654E-07 217366591
  12     275.00     300.00  2.655936673502538E-03  6.879207789932356E-07 194151951	  12     275.00     300.00  2.655936673502538E-03  6.879207789932356E-07 194151951	  12     275.00     300.00  2.438350108698480E-03  6.285187111088917E-07 194151951	  12     275.00     300.00  2.438350108698480E-03  6.285187111088917E-07 194151951	  12     275.00     300.00  2.912142950647771E-03  7.593620645514557E-07 194151951	  12     275.00     300.00  2.912142950647771E-03  7.593620645514557E-07 194151951	  12     275.00     300.00  2.655936673502538E-03  6.879207789932356E-07 194151951
  13     300.00     325.00  2.146521364039073E-03  5.869136745823315E-07 173372996	  13     300.00     325.00  2.146521364039073E-03  5.869136745823315E-07 173372996	  13     300.00     325.00  1.965724107919738E-03  5.346986359149974E-07 173372996	  13     300.00     325.00  1.965724107919738E-03  5.346986359149974E-07 173372996	  13     300.00     325.00  2.360144397939944E-03  6.499140624281925E-07 173372996	  13     300.00     325.00  2.360144397939944E-03  6.499140624281925E-07 173372996	  13     300.00     325.00  2.146521364039073E-03  5.869136745823315E-07 173372996
  14     325.00     350.00  1.732409148234376E-03  5.097877949821849E-07 155014262	  14     325.00     350.00  1.732409148234376E-03  5.097877949821849E-07 155014262	  14     325.00     350.00  1.582688644673008E-03  4.637696875971628E-07 155014262	  14     325.00     350.00  1.582688644673008E-03  4.637696875971628E-07 155014262	  14     325.00     350.00  1.909868411642642E-03  5.653415821313762E-07 155014262	  14     325.00     350.00  1.909868411642642E-03  5.653415821313762E-07 155014262	  14     325.00     350.00  1.732409148234376E-03  5.097877949821849E-07 155014262
