# title = CMS Energy
# xlabel = $\sqrt{\hat{s}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\sqrt{\hat{s}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  5.000E+02
# xmax=  4.000E+03
# ymin=  1.000E-07
# ymax=  1.000E-03
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
#
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
  76    7500.00    7600.00  9.909721305459179E-07  6.392013931613443E-09 4795647
  77    7600.00    7700.00  8.338959547031590E-07  5.493869576953098E-09 4614362
  78    7700.00    7800.00  7.008591631821901E-07  4.950966163716203E-09 4438387
  79    7800.00    7900.00  5.801922147757895E-07  4.564723770420051E-09 4262368
  80    7900.00    8000.00  4.815754075082355E-07  3.480230941168681E-09 4094232
  81    8000.00    8100.00  3.958325986625707E-07  2.839655262631369E-09 3936874
  82    8100.00    8200.00  3.274787320535344E-07  2.610490612010456E-09 3779322
  83    8200.00    8300.00  2.697823722465300E-07  2.298827662536192E-09 3625696
  84    8300.00    8400.00  2.190211043125674E-07  1.732720795339520E-09 3481661
  85    8400.00    8500.00  1.772821277784195E-07  1.558658516388408E-09 3343245
  86    8500.00    8600.00  1.428909701626532E-07  1.201216597622344E-09 3207389
  87    8600.00    8700.00  1.156320740538190E-07  9.767915861319909E-10 3076477
  88    8700.00    8800.00  9.179330211886603E-08  7.912325149142344E-10 2945265
  89    8800.00    8900.00  7.330859997507321E-08  6.171219030894959E-10 2823822
  90    8900.00    9000.00  5.784802812481121E-08  5.259326436634804E-10 2704395
  91    9000.00    9100.00  4.546248178245708E-08  4.190579821952124E-10 2589404
  92    9100.00    9200.00  3.613250823962646E-08  3.291896098505015E-10 2476595
  93    9200.00    9300.00  2.864212873728725E-08  2.864614039893998E-10 2366016
  94    9300.00    9400.00  2.194610714115264E-08  2.125900292962340E-10 2265421
  95    9400.00    9500.00  1.654107749193823E-08  1.578024677272525E-10 2164604
  96    9500.00    9600.00  1.274759462309914E-08  1.261421545218966E-10 2063097
  97    9600.00    9700.00  9.678777214010976E-09  1.034137801382548E-10 1969651
  98    9700.00    9800.00  7.259086154045540E-09  7.361227657757373E-11 1873543
  99    9800.00    9900.00  5.502220013468783E-09  5.767870148737376E-11 1788844
 100    9900.00   10000.00  4.039819954366335E-09  5.751660981893151E-11 1700474
 101   10000.00   10100.00  2.938208857459798E-09  3.298789826686859E-11 1615835
 102   10100.00   10200.00  2.093154719890089E-09  2.302928328644572E-11 1535621
 103   10200.00   10300.00  1.468241054691640E-09  1.584042597500838E-11 1458055
 104   10300.00   10400.00  1.060415050750179E-09  1.325922170291480E-11 1379221
 105   10400.00   10500.00  7.266947805952589E-10  8.220580379514760E-12 1303954
 106   10500.00   10600.00  5.067886267096562E-10  7.576828885651949E-12 1233009
 107   10600.00   10700.00  3.405415316415170E-10  4.713757732576435E-12 1163934
 108   10700.00   10800.00  2.231210276484731E-10  3.197899136674394E-12 1095374
 109   10800.00   10900.00  1.409196456463013E-10  2.033194357848342E-12 1029580
 110   10900.00   11000.00  9.133611750646123E-11  1.363219488130815E-12 965756
 111   11000.00   11100.00  5.690790527628553E-11  8.696072816514146E-13 904552
 112   11100.00   11200.00  3.525948549565681E-11  6.618813804973786E-13 845661
 113   11200.00   11300.00  2.103127099677109E-11  4.353124926676958E-13 788019
 114   11300.00   11400.00  1.168169537528101E-11  2.903544717031302E-13 728548
 115   11400.00   11500.00  6.829307549590101E-12  1.661453278607417E-13 675578
 116   11500.00   11600.00  3.698926169024480E-12  1.048692294562946E-13 621841
 117   11600.00   11700.00  1.767884855854316E-12  6.049722643685727E-14 571245
 118   11700.00   11800.00  8.811654537995400E-13  4.004350559978406E-14 519530
 119   11800.00   11900.00  4.077160199557213E-13  2.752836184854776E-14 471007
 120   11900.00   12000.00  1.701767318511630E-13  1.351092720922545E-14 422854
 121   12000.00   12100.00  5.907503012908449E-14  9.002760311235526E-15 376634
 122   12100.00   12200.00  1.467799012969362E-14  4.041559889083932E-15 332551
 123   12200.00   12300.00  5.072925829527121E-15  2.824788863490208E-15 290144
 124   12300.00   12400.00  1.657104546951935E-15  1.784820740167255E-15 247005
 125   12400.00   12500.00  5.401050434439641E-16  8.069560287157372E-16 205204
 126   12500.00   12600.00 -4.947325105178331E-16  2.776494819926808E-16 166035
 127   12600.00   12700.00 -2.413893189128872E-17  9.762071631287563E-17 127220
 128   12700.00   12800.00 -2.917834268223882E-18  3.237796021785495E-17 89807
 129   12800.00   12900.00  8.881040329439672E-19  5.032424167107493E-18 52700
 130   12900.00   13000.00 -4.989882782832058E-19  5.191675055227054E-19 17404
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       1.0468648594316685E+00  3.4526307547509802E-04 107479000
#=====================================================================================
# Number of generated events: 3357351632
