   1      -5.00      -4.50  0.000000000000000E+00  0.000000000000000E+00 0	   1      -5.00      -4.50  0.000000000000000E+00  0.000000000000000E+00 0	   1      -5.00      -4.50  0.000000000000000E+00  0.000000000000000E+00 0	   1      -5.00      -4.50  0.000000000000000E+00  0.000000000000000E+00 0	   1      -5.00      -4.50  0.000000000000000E+00  0.000000000000000E+00 0	   1      -5.00      -4.50  0.000000000000000E+00  0.000000000000000E+00 0	   1      -5.00      -4.50  0.000000000000000E+00  0.000000000000000E+00 0
   2      -4.50      -4.00  7.310886619308654E-02  2.703650091935789E-05 196862776	   2      -4.50      -4.00  7.310886619308654E-02  2.703650091935789E-05 196862776	   2      -4.50      -4.00  6.531414586584028E-02  2.389316638021141E-05 196862776	   2      -4.50      -4.00  6.531414586584028E-02  2.389316638021141E-05 196862776	   2      -4.50      -4.00  8.269636093740668E-02  3.102170110651630E-05 196862776	   2      -4.50      -4.00  8.269636093740668E-02  3.102170110651630E-05 196862776	   2      -4.50      -4.00  7.310886619308654E-02  2.703650091935789E-05 196862776
   3      -4.00      -3.50  1.532665509518757E-01  4.246926148748672E-05 278132396	   3      -4.00      -3.50  1.532665509518757E-01  4.246926148748672E-05 278132396	   3      -4.00      -3.50  1.388684114890994E-01  3.805231945956893E-05 278132396	   3      -4.00      -3.50  1.388684114890994E-01  3.805231945956893E-05 278132396	   3      -4.00      -3.50  1.706069717848328E-01  4.795882725896809E-05 278132396	   3      -4.00      -3.50  1.706069717848328E-01  4.795882725896809E-05 278132396	   3      -4.00      -3.50  1.532665509518757E-01  4.246926148748672E-05 278132396
   4      -3.50      -3.00  2.350357473215752E-01  5.483365605428119E-05 335734540	   4      -3.50      -3.00  2.350357473215752E-01  5.483365605428119E-05 335734540	   4      -3.50      -3.00  2.154079756962298E-01  4.979030481952836E-05 335734540	   4      -3.50      -3.00  2.154079756962298E-01  4.979030481952836E-05 335734540	   4      -3.50      -3.00  2.582406449618881E-01  6.097640641596971E-05 335734540	   4      -3.50      -3.00  2.582406449618881E-01  6.097640641596971E-05 335734540	   4      -3.50      -3.00  2.350357473215752E-01  5.483365605428119E-05 335734540
   5      -3.00      -2.50  2.782419175322780E-01  5.714241287082088E-05 357324719	   5      -3.00      -2.50  2.782419175322780E-01  5.714241287082088E-05 357324719	   5      -3.00      -2.50  2.573578364669062E-01  5.235155066655704E-05 357324719	   5      -3.00      -2.50  2.573578364669062E-01  5.235155066655704E-05 357324719	   5      -3.00      -2.50  3.025325736617624E-01  6.288688987990457E-05 357324719	   5      -3.00      -2.50  3.025325736617624E-01  6.288688987990457E-05 357324719	   5      -3.00      -2.50  2.782419175322780E-01  5.714241287082088E-05 357324719
   6      -2.50      -2.00  2.624470181818300E-01  5.121067377928889E-05 339587135	   6      -2.50      -2.00  2.624470181818300E-01  5.121067377928889E-05 339587135	   6      -2.50      -2.00  2.444861151025657E-01  4.737221267339452E-05 339587135	   6      -2.50      -2.00  2.444861151025657E-01  4.737221267339452E-05 339587135	   6      -2.50      -2.00  2.830331180103258E-01  5.572782700464876E-05 339587135	   6      -2.50      -2.00  2.830331180103258E-01  5.572782700464876E-05 339587135	   6      -2.50      -2.00  2.624470181818300E-01  5.121067377928889E-05 339587135
   7      -2.00      -1.50  2.037938544085974E-01  4.300148766982479E-05 290329714	   7      -2.00      -1.50  2.037938544085974E-01  4.300148766982479E-05 290329714	   7      -2.00      -1.50  1.908324697188344E-01  4.038666737989282E-05 290329714	   7      -2.00      -1.50  1.908324697188344E-01  4.038666737989282E-05 290329714	   7      -2.00      -1.50  2.184494223255433E-01  4.600496141218329E-05 290329714	   7      -2.00      -1.50  2.184494223255433E-01  4.600496141218329E-05 290329714	   7      -2.00      -1.50  2.037938544085974E-01  4.300148766982479E-05 290329714
   8      -1.50      -1.00  1.300667757005889E-01  2.832264587306522E-05 221892639	   8      -1.50      -1.00  1.300667757005889E-01  2.832264587306522E-05 221892639	   8      -1.50      -1.00  1.221930685372186E-01  2.656638105292941E-05 221892639	   8      -1.50      -1.00  1.221930685372186E-01  2.656638105292941E-05 221892639	   8      -1.50      -1.00  1.388575684625090E-01  3.031387543421193E-05 221892639	   8      -1.50      -1.00  1.388575684625090E-01  3.031387543421193E-05 221892639	   8      -1.50      -1.00  1.300667757005889E-01  2.832264587306522E-05 221892639
   9      -1.00      -0.50  6.728160963792007E-02  1.928193392218429E-05 155934167	   9      -1.00      -0.50  6.728160963792007E-02  1.928193392218429E-05 155934167	   9      -1.00      -0.50  6.325786417726496E-02  1.820046060536538E-05 155934167	   9      -1.00      -0.50  6.325786417726496E-02  1.820046060536538E-05 155934167	   9      -1.00      -0.50  7.173054002286769E-02  2.047026475384183E-05 155934167	   9      -1.00      -0.50  7.173054002286769E-02  2.047026475384183E-05 155934167	   9      -1.00      -0.50  6.728160963792007E-02  1.928193392218429E-05 155934167
  10      -0.50       0.00  3.158533805049265E-02  1.003203437998304E-05 113518091	  10      -0.50       0.00  3.158533805049265E-02  1.003203437998304E-05 113518091	  10      -0.50       0.00  2.961090779751273E-02  9.444930649852277E-06 113518091	  10      -0.50       0.00  2.961090779751273E-02  9.444930649852277E-06 113518091	  10      -0.50       0.00  3.376192366001778E-02  1.067885665428821E-05 113518091	  10      -0.50       0.00  3.376192366001778E-02  1.067885665428821E-05 113518091	  10      -0.50       0.00  3.158533805049265E-02  1.003203437998304E-05 113518091
  11       0.00       0.50  3.157873497309237E-02  1.136732032686975E-05 107695761	  11       0.00       0.50  3.157873497309237E-02  1.136732032686975E-05 107695761	  11       0.00       0.50  2.960513879335373E-02  1.073794559105797E-05 107695761	  11       0.00       0.50  2.960513879335373E-02  1.073794559105797E-05 107695761	  11       0.00       0.50  3.375433388643320E-02  1.205374662494570E-05 107695761	  11       0.00       0.50  3.375433388643320E-02  1.205374662494570E-05 107695761	  11       0.00       0.50  3.157873497309237E-02  1.136732032686975E-05 107695761
  12       0.50       1.00  6.727382045858968E-02  1.848163071875049E-05 140781720	  12       0.50       1.00  6.727382045858968E-02  1.848163071875049E-05 140781720	  12       0.50       1.00  6.325083611605425E-02  1.740348738364525E-05 140781720	  12       0.50       1.00  6.325083611605425E-02  1.740348738364525E-05 140781720	  12       0.50       1.00  7.172190325147011E-02  1.968283709394469E-05 140781720	  12       0.50       1.00  7.172190325147011E-02  1.968283709394469E-05 140781720	  12       0.50       1.00  6.727382045858968E-02  1.848163071875049E-05 140781720
  13       1.00       1.50  1.300838528430854E-01  2.967940360336535E-05 203134093	  13       1.00       1.50  1.300838528430854E-01  2.967940360336535E-05 203134093	  13       1.00       1.50  1.222080128945186E-01  2.786242847565544E-05 203134093	  13       1.00       1.50  1.222080128945186E-01  2.786242847565544E-05 203134093	  13       1.00       1.50  1.388773279572853E-01  3.173479384512987E-05 203134093	  13       1.00       1.50  1.388773279572853E-01  3.173479384512987E-05 203134093	  13       1.00       1.50  1.300838528430854E-01  2.967940360336535E-05 203134093
  14       1.50       2.00  2.037706892346748E-01  4.335477126965037E-05 274399497	  14       1.50       2.00  2.037706892346748E-01  4.335477126965037E-05 274399497	  14       1.50       2.00  1.908108802396204E-01  4.050692203399896E-05 274399497	  14       1.50       2.00  1.908108802396204E-01  4.050692203399896E-05 274399497	  14       1.50       2.00  2.184244205986103E-01  4.662987068358464E-05 274399497	  14       1.50       2.00  2.184244205986103E-01  4.662987068358464E-05 274399497	  14       1.50       2.00  2.037706892346748E-01  4.335477126965037E-05 274399497
  15       2.00       2.50  2.625509511473376E-01  5.339178496983456E-05 330015529	  15       2.00       2.50  2.625509511473376E-01  5.339178496983456E-05 330015529	  15       2.00       2.50  2.445839199077023E-01  4.947303526819490E-05 330015529	  15       2.00       2.50  2.445839199077023E-01  4.947303526819490E-05 330015529	  15       2.00       2.50  2.831438848387365E-01  5.798426547881462E-05 330015529	  15       2.00       2.50  2.831438848387365E-01  5.798426547881462E-05 330015529	  15       2.00       2.50  2.625509511473376E-01  5.339178496983456E-05 330015529
