0.00 100.00 6.059574860538866E-03 9.469434857522417E-07
100.00 200.00 5.989550946267271E-03 9.094979405951180E-07
200.00 300.00 2.282446015110636E-03 5.726566901503316E-07
300.00 400.00 9.252364370557771E-04 3.681501264902424E-07
400.00 500.00 4.115496736042620E-04 2.418427119148575E-07
500.00 600.00 1.974131819293954E-04 1.612729518374551E-07
600.00 700.00 1.006903365264561E-04 1.103444640395933E-07
700.00 800.00 5.386014296354267E-05 7.550008441627619E-08
800.00 900.00 2.985061263365933E-05 5.211183218717634E-08
900.00 1000.00 1.715883887453153E-05 3.783175680262966E-08
1000.00 1100.00 1.011331682531832E-05 2.652713832762732E-08
1100.00 1200.00 6.098259512498309E-06 1.885369925605189E-08
1200.00 1300.00 3.737977172614028E-06 1.348010698038275E-08
1300.00 1400.00 2.332210854530510E-06 1.168396997102394E-08
1400.00 1500.00 1.479445375225754E-06 7.497758118995628E-09
1500.00 1600.00 9.494426600723964E-07 5.522253021774497E-09
1600.00 1700.00 6.188116417481433E-07 4.232082114608821E-09
1700.00 1800.00 3.996342386956831E-07 2.856158281267788E-09
1800.00 1900.00 2.679764115757577E-07 2.238825479930430E-09
1900.00 2000.00 1.779055128799811E-07 1.575815542482642E-09
2000.00 2100.00 1.187560447083630E-07 1.243088801906132E-09
2100.00 2200.00 7.952755686590487E-08 8.974159866470593E-10
2200.00 2300.00 5.511830614378143E-08 7.617450723550770E-10
2300.00 2400.00 3.634871532634733E-08 4.906704725947216E-10
2400.00 2500.00 2.494841285720172E-08 4.430947493472580E-10
2500.00 2600.00 1.758774642923053E-08 2.877439461296595E-10
2600.00 2700.00 1.206585222011999E-08 2.468173235869077E-10
2700.00 2800.00 8.300412640192152E-09 1.727603266726917E-10
2800.00 2900.00 6.022177263774295E-09 1.485964227996743E-10
2900.00 3000.00 3.997643214928104E-09 1.069946105087699E-10
3000.00 3100.00 2.784399550325609E-09 7.288969178346880E-11
3100.00 3200.00 2.029882346956357E-09 8.318205554007401E-11
3200.00 3300.00 1.348921126136475E-09 4.385894386624359E-11
3300.00 3400.00 9.380027183131275E-10 3.328155811887466E-11
3400.00 3500.00 7.291942789400547E-10 3.122152109880006E-11
3500.00 3600.00 5.072001734228845E-10 2.389371544041866E-11
3600.00 3700.00 3.399172385326853E-10 1.596321609790630E-11
3700.00 3800.00 2.244473516747560E-10 1.065928182480777E-11
3800.00 3900.00 1.653076236543574E-10 9.603874158079953E-12
3900.00 4000.00 1.202521893662932E-10 7.090512320818974E-12
