  +0.0000000e+00   +2.5000000e+01   +0.0000000e+00   +0.0000000e+00  +0.0000000e+00   +0.0000000e+00   +0.0000000e+00   +0.0000000e+00   +0.0000000e+00   +0.0000000e+00   +0.0000000e+00   +0.0000000e+00   +0.0000000e+00   +0.0000000e+00   +0.0000000e+00   +0.0000000e+00
  +2.5000000e+01   +5.0000000e+01   +6.9670458e-06   +7.1520507e-08  +6.9670458e-06   +6.5956305e-06   +7.3720169e-06   +6.9670458e-06   +6.9670458e-06   +6.9670458e-06   +6.5956305e-06   +6.5956305e-06   +6.5956305e-06   +7.3720169e-06   +7.3720169e-06   +7.3720169e-06
  +5.0000000e+01   +7.5000000e+01   +4.8966539e-05   +1.4729461e-07  +4.8966539e-05   +4.6105807e-05   +5.2146402e-05   +4.8966539e-05   +4.8966539e-05   +4.8966539e-05   +4.6105807e-05   +4.6105807e-05   +4.6105807e-05   +5.2146402e-05   +5.2146402e-05   +5.2146402e-05
  +7.5000000e+01   +1.0000000e+02   +1.0800880e-04   +6.6972255e-07  +1.0800880e-04   +1.0116960e-04   +1.1574438e-04   +1.0800880e-04   +1.0800880e-04   +1.0800880e-04   +1.0116960e-04   +1.0116960e-04   +1.0116960e-04   +1.1574438e-04   +1.1574438e-04   +1.1574438e-04
  +1.0000000e+02   +1.2500000e+02   +1.4973866e-04   +5.1177629e-07  +1.4973866e-04   +1.3983123e-04   +1.6104812e-04   +1.4973866e-04   +1.4973866e-04   +1.4973866e-04   +1.3983123e-04   +1.3983123e-04   +1.3983123e-04   +1.6104812e-04   +1.6104812e-04   +1.6104812e-04
  +1.2500000e+02   +1.5000000e+02   +1.6793160e-04   +6.3261991e-07  +1.6793160e-04   +1.5640380e-04   +1.8118429e-04   +1.6793160e-04   +1.6793160e-04   +1.6793160e-04   +1.5640380e-04   +1.5640380e-04   +1.5640380e-04   +1.8118429e-04   +1.8118429e-04   +1.8118429e-04
  +1.5000000e+02   +1.7500000e+02   +1.6491649e-04   +4.0276378e-07  +1.6491649e-04   +1.5305248e-04   +1.7865985e-04   +1.6491649e-04   +1.6491649e-04   +1.6491649e-04   +1.5305248e-04   +1.5305248e-04   +1.5305248e-04   +1.7865985e-04   +1.7865985e-04   +1.7865985e-04
  +1.7500000e+02   +2.0000000e+02   +1.4943690e-04   +2.9517717e-07  +1.4943690e-04   +1.3813768e-04   +1.6263173e-04   +1.4943690e-04   +1.4943690e-04   +1.4943690e-04   +1.3813768e-04   +1.3813768e-04   +1.3813768e-04   +1.6263173e-04   +1.6263173e-04   +1.6263173e-04
  +2.0000000e+02   +2.2500000e+02   +1.2917304e-04   +1.8754765e-07  +1.2917304e-04   +1.1893370e-04   +1.4121985e-04   +1.2917304e-04   +1.2917304e-04   +1.2917304e-04   +1.1893370e-04   +1.1893370e-04   +1.1893370e-04   +1.4121985e-04   +1.4121985e-04   +1.4121985e-04
  +2.2500000e+02   +2.5000000e+02   +1.0905636e-04   +2.7869149e-07  +1.0905636e-04   +9.9982960e-05   +1.1981786e-04   +1.0905636e-04   +1.0905636e-04   +1.0905636e-04   +9.9982960e-05   +9.9982960e-05   +9.9982960e-05   +1.1981786e-04   +1.1981786e-04   +1.1981786e-04
