 #          24 : dS/dp_{T,j1} (fb/GeV)	 #          24 : dS/dp_{T,j1} (fb/GeV)
-25.0000 0.00000 0.0 0.0	-25.0000 0.00000 0.0 0.0
0.00000 25.0000 0.0 0.0	0.00000 25.0000 0.0 0.0
25.0000 50.0000 0.0005160868110236219 2.112032732143928e-07	25.0000 50.0000 4.9132996875e-07 2.505072750315847e-09
50.0000 75.0000 0.0031802722834645683 5.573783072221362e-07	50.0000 75.0000 2.99734125e-06 6.3392664872889855e-09
75.0000 100.000 0.006123045905511812 7.440346577194582e-07	75.0000 100.000 5.2869928124999994e-06 1.4836221538231505e-08
100.000 125.000 0.007668552677165357 7.939770026734524e-07	100.000 125.000 5.289520312499999e-06 6.726618715027876e-09
125.000 150.000 0.007886841259842516 7.740331090959945e-07	125.000 150.000 4.481335e-06 6.253651186001794e-09
150.000 175.000 0.007316848425196847 7.272911823776425e-07	150.000 175.000 3.5794931250000006e-06 5.677210985344752e-09
175.000 200.000 0.00640506842519685 6.569303769709142e-07	175.000 200.000 2.8046346874999997e-06 4.873441100948493e-09
200.000 225.000 0.005418928503937011 5.924015062805164e-07	200.000 225.000 2.1806896875000003e-06 4.41712435346401e-09
225.000 250.000 0.00449443748031496 5.382651844876242e-07	225.000 250.000 1.7010565625e-06 3.97459174775821e-09
250.000 275.000 0.0036853342519685027 4.972590760821676e-07	250.000 275.000 1.323960625e-06 3.507507002338709e-09
275.000 300.000 0.0030030667716535436 4.466159902578038e-07	275.000 300.000 1.0368158124999999e-06 3.4867876595910126e-09
300.000 325.000 0.002439169842519687 4.106381799485968e-07	300.000 325.000 8.158129375e-07 3.275576631924725e-09
325.000 350.000 0.001980866614173228 3.7956125608746213e-07	325.000 350.000 6.387665937500001e-07 2.699532840989359e-09
350.000 375.000 0.001608801496062992 3.484511862014168e-07	350.000 375.000 5.042622187500001e-07 2.4482629913082e-09
375.000 400.000 0.0013095763779527557 3.2313043817419636e-07	375.000 400.000 4.010093749999999e-07 2.201729234256339e-09
400.000 425.000 0.001067915354330709 2.968562275176982e-07	400.000 425.000 3.1858296875e-07 2.0150657136676285e-09
425.000 450.000 0.0008740916141732288 2.7836275265298754e-07	425.000 450.000 2.5159171875000006e-07 1.7392043217256784e-09
450.000 475.000 0.0007161486850393705 2.600446876700094e-07	450.000 475.000 2.0318759375e-07 1.6889541275148687e-09
475.000 500.000 0.0005897170000000002 2.4111124211801024e-07	475.000 500.000 1.636318125e-07 1.615705609526431e-09
500.000 525.000 0.0004859208425196852 2.3235566440847094e-07	500.000 525.000 1.3067228124999998e-07 1.4610010390511348e-09
525.000 550.000 0.00040227433858267735 2.1827474557640625e-07	525.000 550.000 1.0974414687500001e-07 1.5022763821540727e-09
550.000 575.000 0.00033353321259842514 2.013599076864405e-07	550.000 575.000 8.357561875e-08 1.2302365751655249e-09
575.000 600.000 0.0002778494173228347 1.850571697501049e-07	575.000 600.000 6.842940937500001e-08 1.1940785965557455e-09
600.000 625.000 0.00023168123622047254 1.7058352916833102e-07	600.000 625.000 5.7905040625e-08 1.3152895441142418e-09
625.000 650.000 0.0001937110236220473 1.736176889461556e-07	625.000 650.000 4.7275462499999995e-08 1.5407083998626806e-09
650.000 675.000 0.00016215151181102363 1.8404551227427574e-07	650.000 675.000 3.5326809375000006e-08 8.66958320747531e-10
675.000 700.000 0.00013636003937007876 1.7580150355457457e-07	675.000 700.000 2.92788e-08 8.482104669172552e-10
700.000 725.000 0.00011474012598425196 1.6736155352301733e-07	700.000 725.000 2.433168125e-08 9.77845598896248e-10
725.000 750.000 9.684239448818897e-05 1.5693258897348494e-07	725.000 750.000 2.6886943750000002e-08 6.477595923646781e-09
750.000 775.000 8.246443543307091e-05 1.4641693302952683e-07	750.000 775.000 1.5183828125e-08 6.104805232043969e-10
775.000 800.000 6.940874173228343e-05 1.335610185924461e-07	775.000 800.000 1.3791808125e-08 6.921704497405557e-10
800.000 825.000 5.902580078740158e-05 1.2303712885705454e-07	800.000 825.000 1.1808238125e-08 9.059996524209676e-10
825.000 850.000 5.007092992125986e-05 1.1164456844270663e-07	825.000 850.000 9.403253437500001e-09 1.0105200139938342e-09
850.000 875.000 4.251103228346458e-05 1.0352977991748395e-07	850.000 875.000 7.5326728125e-09 5.98556255927223e-10
875.000 900.000 3.631527480314959e-05 9.47313254170702e-08	875.000 900.000 7.71565875e-09 8.812498444056916e-10
900.000 925.000 3.098779527559055e-05 8.7731403249708e-08	900.000 925.000 6.385722499999999e-09 8.723513298181038e-10
925.000 950.000 2.6661767716535435e-05 8.058705849824442e-08	925.000 950.000 5.235934687499999e-09 1.108807859475864e-09
950.000 975.000 2.2848356692913394e-05 7.552241076248381e-08	950.000 975.000 3.5107508749999996e-09 3.8193471081875897e-10
975.000 1000.00 1.9665044094488185e-05 7.279164529580718e-08	975.000 1000.00 2.0643645624999997e-09 2.2385639659633519e-10
1000.00 1025.00 0.00012487813385826777 4.239836227759345e-07	1000.00 1025.00 1.3083026562500002e-08 1.1076810714561004e-09
