 #           1 : d2S/dy_jj dm_jj (fb/GeV)	 #           1 : d2S/dy_jj dm_jj (fb/GeV)
9.50000 10.0000 0.00000 50.0000 0.0 0.0	9.50000 10.0000 0.00000 50.0000 0.0 0.0
9.50000 10.0000 50.0000 100.000 0.0 0.0	9.50000 10.0000 50.0000 100.000 0.0 0.0
9.50000 10.0000 100.000 150.000 0.0 0.0	9.50000 10.0000 100.000 150.000 0.0 0.0
9.50000 10.0000 150.000 200.000 0.0 0.0	9.50000 10.0000 150.000 200.000 0.0 0.0
9.50000 10.0000 200.000 250.000 0.0 0.0	9.50000 10.0000 200.000 250.000 0.0 0.0
9.50000 10.0000 250.000 300.000 0.0 0.0	9.50000 10.0000 250.000 300.000 0.0 0.0
9.50000 10.0000 300.000 350.000 0.0 0.0	9.50000 10.0000 300.000 350.000 0.0 0.0
9.50000 10.0000 350.000 400.000 0.0 0.0	9.50000 10.0000 350.000 400.000 0.0 0.0
9.50000 10.0000 400.000 450.000 0.0 0.0	9.50000 10.0000 400.000 450.000 0.0 0.0
9.50000 10.0000 450.000 500.000 0.0 0.0	9.50000 10.0000 450.000 500.000 0.0 0.0
9.50000 10.0000 500.000 550.000 0.0 0.0	9.50000 10.0000 500.000 550.000 0.0 0.0
9.50000 10.0000 550.000 600.000 0.0 0.0	9.50000 10.0000 550.000 600.000 0.0 0.0
9.50000 10.0000 600.000 650.000 0.0 0.0	9.50000 10.0000 600.000 650.000 0.0 0.0
9.50000 10.0000 650.000 700.000 0.0 0.0	9.50000 10.0000 650.000 700.000 0.0 0.0
9.50000 10.0000 700.000 750.000 0.0 0.0	9.50000 10.0000 700.000 750.000 0.0 0.0
9.50000 10.0000 750.000 800.000 0.0 0.0	9.50000 10.0000 750.000 800.000 0.0 0.0
9.50000 10.0000 800.000 850.000 0.0 0.0	9.50000 10.0000 800.000 850.000 0.0 0.0
9.50000 10.0000 850.000 900.000 0.0 0.0	9.50000 10.0000 850.000 900.000 0.0 0.0
9.50000 10.0000 900.000 950.000 0.0 0.0	9.50000 10.0000 900.000 950.000 0.0 0.0
9.50000 10.0000 950.000 1000.00 0.0 0.0	9.50000 10.0000 950.000 1000.00 0.0 0.0
9.50000 10.0000 1000.00 1050.00 0.0 0.0	9.50000 10.0000 1000.00 1050.00 0.0 0.0
 	 
10.0000 10.5000 -50.0000 0.00000 0.0 0.0	10.0000 10.5000 -50.0000 0.00000 0.0 0.0
10.0000 10.5000 0.00000 50.0000 0.0 0.0	10.0000 10.5000 0.00000 50.0000 0.0 0.0
10.0000 10.5000 50.0000 100.000 0.0 0.0	10.0000 10.5000 50.0000 100.000 0.0 0.0
10.0000 10.5000 100.000 150.000 0.0 0.0	10.0000 10.5000 100.000 150.000 0.0 0.0
10.0000 10.5000 150.000 200.000 0.0 0.0	10.0000 10.5000 150.000 200.000 0.0 0.0
10.0000 10.5000 200.000 250.000 0.0 0.0	10.0000 10.5000 200.000 250.000 0.0 0.0
10.0000 10.5000 250.000 300.000 0.0 0.0	10.0000 10.5000 250.000 300.000 0.0 0.0
10.0000 10.5000 300.000 350.000 0.0 0.0	10.0000 10.5000 300.000 350.000 0.0 0.0
10.0000 10.5000 350.000 400.000 0.0 0.0	10.0000 10.5000 350.000 400.000 0.0 0.0
10.0000 10.5000 400.000 450.000 0.0 0.0	10.0000 10.5000 400.000 450.000 0.0 0.0
10.0000 10.5000 450.000 500.000 0.0 0.0	10.0000 10.5000 450.000 500.000 0.0 0.0
10.0000 10.5000 500.000 550.000 0.0 0.0	10.0000 10.5000 500.000 550.000 0.0 0.0
10.0000 10.5000 550.000 600.000 0.0 0.0	10.0000 10.5000 550.000 600.000 0.0 0.0
10.0000 10.5000 600.000 650.000 0.0 0.0	10.0000 10.5000 600.000 650.000 0.0 0.0
10.0000 10.5000 650.000 700.000 0.0 0.0	10.0000 10.5000 650.000 700.000 0.0 0.0
10.0000 10.5000 700.000 750.000 0.0 0.0	10.0000 10.5000 700.000 750.000 0.0 0.0
10.0000 10.5000 750.000 800.000 0.0 0.0	10.0000 10.5000 750.000 800.000 0.0 0.0
10.0000 10.5000 800.000 850.000 0.0 0.0	10.0000 10.5000 800.000 850.000 0.0 0.0
10.0000 10.5000 850.000 900.000 0.0 0.0	10.0000 10.5000 850.000 900.000 0.0 0.0
10.0000 10.5000 900.000 950.000 0.0 0.0	10.0000 10.5000 900.000 950.000 0.0 0.0
10.0000 10.5000 950.000 1000.00 0.0 0.0	10.0000 10.5000 950.000 1000.00 0.0 0.0
10.0000 10.5000 1000.00 1050.00 0.0 0.0	10.0000 10.5000 1000.00 1050.00 0.0 0.0
 	 
