 #           1 : d2S/dy_jj dm_jj (fb/GeV)	 #           1 : d2S/dy_jj dm_jj (fb/GeV)
1.00000 1.50000 1000.00 1050.00 0.0 0.0	1.00000 1.50000 1000.00 1050.00 0.0 0.0
 	 
1.50000 2.00000 -50.0000 0.00000 0.0 0.0	1.50000 2.00000 -50.0000 0.00000 0.0 0.0
1.50000 2.00000 0.00000 50.0000 0.0 0.0	1.50000 2.00000 0.00000 50.0000 0.0 0.0
1.50000 2.00000 50.0000 100.000 0.0 0.0	1.50000 2.00000 50.0000 100.000 0.0 0.0
1.50000 2.00000 100.000 150.000 0.0 0.0	1.50000 2.00000 100.000 150.000 0.0 0.0
1.50000 2.00000 150.000 200.000 0.0 0.0	1.50000 2.00000 150.000 200.000 0.0 0.0
1.50000 2.00000 200.000 250.000 0.0 0.0	1.50000 2.00000 200.000 250.000 0.0 0.0
1.50000 2.00000 250.000 300.000 0.0 0.0	1.50000 2.00000 250.000 300.000 0.0 0.0
1.50000 2.00000 300.000 350.000 0.0 0.0	1.50000 2.00000 300.000 350.000 0.0 0.0
1.50000 2.00000 350.000 400.000 0.0 0.0	1.50000 2.00000 350.000 400.000 0.0 0.0
1.50000 2.00000 400.000 450.000 0.0 0.0	1.50000 2.00000 400.000 450.000 0.0 0.0
1.50000 2.00000 450.000 500.000 0.0 0.0	1.50000 2.00000 450.000 500.000 0.0 0.0
1.50000 2.00000 500.000 550.000 0.0 0.0	1.50000 2.00000 500.000 550.000 0.0 0.0
1.50000 2.00000 550.000 600.000 0.0 0.0	1.50000 2.00000 550.000 600.000 0.0 0.0
1.50000 2.00000 600.000 650.000 0.0 0.0	1.50000 2.00000 600.000 650.000 0.0 0.0
1.50000 2.00000 650.000 700.000 0.0 0.0	1.50000 2.00000 650.000 700.000 0.0 0.0
1.50000 2.00000 700.000 750.000 0.0 0.0	1.50000 2.00000 700.000 750.000 0.0 0.0
1.50000 2.00000 750.000 800.000 0.0 0.0	1.50000 2.00000 750.000 800.000 0.0 0.0
1.50000 2.00000 800.000 850.000 0.0 0.0	1.50000 2.00000 800.000 850.000 0.0 0.0
1.50000 2.00000 850.000 900.000 0.0 0.0	1.50000 2.00000 850.000 900.000 0.0 0.0
1.50000 2.00000 900.000 950.000 0.0 0.0	1.50000 2.00000 900.000 950.000 0.0 0.0
1.50000 2.00000 950.000 1000.00 0.0 0.0	1.50000 2.00000 950.000 1000.00 0.0 0.0
1.50000 2.00000 1000.00 1050.00 0.0 0.0	1.50000 2.00000 1000.00 1050.00 0.0 0.0
 	 
2.00000 2.50000 -50.0000 0.00000 0.0 0.0	2.00000 2.50000 -50.0000 0.00000 0.0 0.0
2.00000 2.50000 0.00000 50.0000 0.0 0.0	2.00000 2.50000 0.00000 50.0000 0.0 0.0
2.00000 2.50000 50.0000 100.000 0.0 0.0	2.00000 2.50000 50.0000 100.000 0.0 0.0
2.00000 2.50000 100.000 150.000 0.0 0.0	2.00000 2.50000 100.000 150.000 0.0 0.0
2.00000 2.50000 150.000 200.000 0.0 0.0	2.00000 2.50000 150.000 200.000 0.0 0.0
2.00000 2.50000 200.000 250.000 0.00032480351968503933 1.899536767238076e-07	2.00000 2.50000 200.000 250.000 3.42103375e-06 1.5167733911552193e-08
2.00000 2.50000 250.000 300.000 0.00041420305511811025 2.0243134440565175e-07	2.00000 2.50000 250.000 300.000 2.5968215624999997e-06 5.298965375541853e-09
2.00000 2.50000 300.000 350.000 0.00045233323622047246 2.6225873747236756e-07	2.00000 2.50000 300.000 350.000 1.9667562500000003e-06 4.041313548577977e-09
