 #           1 : d2S/dy_jj dm_jj (fb/GeV)	 #           1 : d2S/dy_jj dm_jj (fb/GeV)
0.00000 0.500000 400.000 450.000 5.255208437500006e-05 5.606160914346228e-08	0.00000 0.500000 400.000 450.000 2.1698606249999995e-06 7.94681693738681e-08
0.00000 0.500000 450.000 500.000 4.4787392968750005e-05 5.845934987880834e-08	0.00000 0.500000 450.000 500.000 1.7123334375000001e-06 1.3382740992263326e-07
0.00000 0.500000 500.000 550.000 3.835136484374999e-05 5.7391365943589206e-08	0.00000 0.500000 500.000 550.000 1.3566489374999998e-06 9.772143067156368e-08
0.00000 0.500000 550.000 600.000 3.2808796093750005e-05 5.966491195313308e-08	0.00000 0.500000 550.000 600.000 9.9078671875e-07 7.093739728505654e-08
0.00000 0.500000 600.000 650.000 2.8265318749999995e-05 5.948741803981133e-08	0.00000 0.500000 600.000 650.000 8.349524687499998e-07 9.555499479117718e-08
0.00000 0.500000 650.000 700.000 2.4138354687499994e-05 5.9161548889340104e-08	0.00000 0.500000 650.000 700.000 7.121455e-07 6.38969916265839e-08
0.00000 0.500000 700.000 750.000 2.1075146875000007e-05 6.265055296795172e-08	0.00000 0.500000 700.000 750.000 5.25511125e-07 4.860848945455861e-08
0.00000 0.500000 750.000 800.000 1.8143283593749997e-05 5.744718183925367e-08	0.00000 0.500000 750.000 800.000 3.4941375e-07 2.4474719781199984e-08
0.00000 0.500000 800.000 850.000 1.5837688281249995e-05 6.144781069620933e-08	0.00000 0.500000 800.000 850.000 3.29904e-07 2.7865212510642924e-08
0.00000 0.500000 850.000 900.000 1.3875205468750008e-05 6.139514585992129e-08	0.00000 0.500000 850.000 900.000 2.385918875e-07 3.8723783858200134e-08
0.00000 0.500000 900.000 950.000 1.2071662499999996e-05 5.680814698313501e-08	0.00000 0.500000 900.000 950.000 1.98906365625e-07 2.0732978370275563e-08
0.00000 0.500000 950.000 1000.00 1.0621902265625e-05 5.7294104619415815e-08	0.00000 0.500000 950.000 1000.00 2.12460753125e-07 2.752343188764846e-08
0.00000 0.500000 1000.00 1050.00 8.800548281250004e-05 4.984124403020449e-07	0.00000 0.500000 1000.00 1050.00 1.1221880312500002e-06 1.0308011167568406e-07
 	 
0.500000 1.00000 -50.0000 0.00000 0.0 0.0	0.500000 1.00000 -50.0000 0.00000 0.0 0.0
0.500000 1.00000 0.00000 50.0000 4.218483593749999e-06 1.8926385645460888e-08	0.500000 1.00000 0.00000 50.0000 0.000228373375 6.647211224897868e-07
0.500000 1.00000 50.0000 100.000 5.360436796875e-05 5.7993034863421175e-08	0.500000 1.00000 50.0000 100.000 0.0043461084375 3.6990758146606603e-06
0.500000 1.00000 100.000 150.000 0.00012236713281250003 7.66180424377998e-08	0.500000 1.00000 100.000 150.000 7.807055000000003e-05 1.8261668638852904e-07
0.500000 1.00000 150.000 200.000 0.00015160508593750003 8.193872064473286e-08	0.500000 1.00000 150.000 200.000 1.9628346874999992e-05 1.9476979174321495e-07
0.500000 1.00000 200.000 250.000 0.00014917079687499994 8.238879537779035e-08	0.500000 1.00000 200.000 250.000 9.5142996875e-06 9.616159296104481e-08
0.500000 1.00000 250.000 300.000 0.00013483607812500012 8.364161918648785e-08	0.500000 1.00000 250.000 300.000 5.966825312500001e-06 1.0229248359233098e-07
0.500000 1.00000 300.000 350.000 0.00011780101562500004 8.179971410646017e-08	0.500000 1.00000 300.000 350.000 3.9604984375e-06 1.0184049624806312e-07
0.500000 1.00000 350.000 400.000 0.00010135058749999998 8.370281316543804e-08	0.500000 1.00000 350.000 400.000 2.6788275000000003e-06 8.649976289212333e-08
0.500000 1.00000 400.000 450.000 8.653587734374996e-05 7.360853596040388e-08	0.500000 1.00000 400.000 450.000 1.96052875e-06 8.070964109683236e-08
0.500000 1.00000 450.000 500.000 7.404035859374999e-05 7.543840497288273e-08	0.500000 1.00000 450.000 500.000 1.6176292812499997e-06 1.4045833267725998e-07
0.500000 1.00000 500.000 550.000 6.324261406249999e-05 7.541382232713515e-08	0.500000 1.00000 500.000 550.000 1.1060456875e-06 4.414074155090299e-08
0.500000 1.00000 550.000 600.000 5.3945121093749997e-05 7.467506768601273e-08	0.500000 1.00000 550.000 600.000 9.416806875000001e-07 8.445144119876596e-08
0.500000 1.00000 600.000 650.000 4.625205781249996e-05 7.266014635500207e-08	0.500000 1.00000 600.000 650.000 6.717001249999999e-07 3.185214118397531e-08
0.500000 1.00000 650.000 700.000 3.987473203124999e-05 8.375287336249098e-08	0.500000 1.00000 650.000 700.000 6.060131875e-07 4.317205965299024e-08
0.500000 1.00000 700.000 750.000 3.4430790625e-05 7.253957104121603e-08	0.500000 1.00000 700.000 750.000 4.081330625e-07 2.4477099247686674e-08
0.500000 1.00000 750.000 800.000 2.9815285156249997e-05 8.088480970987832e-08	0.500000 1.00000 750.000 800.000 5.094670937499999e-07 8.341684543998636e-08
0.500000 1.00000 800.000 850.000 2.5970919531249995e-05 7.093915856070969e-08	0.500000 1.00000 800.000 850.000 2.8111800312499996e-07 2.3037137829485184e-08
0.500000 1.00000 850.000 900.000 2.2526098437499997e-05 6.876252135524078e-08	0.500000 1.00000 850.000 900.000 2.9931406875000007e-07 3.5384995087927675e-08
0.500000 1.00000 900.000 950.000 1.9714996874999996e-05 6.899686936926882e-08	0.500000 1.00000 900.000 950.000 5.14505459375e-07 3.057567286904551e-07
0.500000 1.00000 950.000 1000.00 1.7224200781250004e-05 6.727839133904404e-08	0.500000 1.00000 950.000 1000.00 2.02338646875e-07 2.825259415547041e-08
0.500000 1.00000 1000.00 1050.00 0.00014145413281250002 4.7316082477886946e-07	0.500000 1.00000 1000.00 1050.00 1.4597682187500001e-06 2.3154328727201971e-07
 	 
1.00000 1.50000 -50.0000 0.00000 0.0 0.0	1.00000 1.50000 -50.0000 0.00000 0.0 0.0
1.00000 1.50000 0.00000 50.0000 3.216460546874999e-07 6.27115235420957e-09	1.00000 1.50000 0.00000 50.0000 1.397603125e-05 2.0740239556475008e-07
1.00000 1.50000 50.0000 100.000 3.596117109375e-05 5.654473775935612e-08	1.00000 1.50000 50.0000 100.000 0.0018205521874999997 2.649443885543999e-06
1.00000 1.50000 100.000 150.000 0.00014805096093749992 1.0556647114261416e-07	1.00000 1.50000 100.000 150.000 4.6440728125e-05 1.3701771437446454e-07
1.00000 1.50000 150.000 200.000 0.00022872471874999995 1.2430408272873514e-07	1.00000 1.50000 150.000 200.000 1.488995e-05 1.0201274139266754e-07
1.00000 1.50000 200.000 250.000 0.0002504292968750001 1.2512413686311098e-07	1.00000 1.50000 200.000 250.000 7.908179687499998e-06 9.744523797499254e-08
1.00000 1.50000 250.000 300.000 0.00023969853125000007 1.149363587651028e-07	1.00000 1.50000 250.000 300.000 4.834237187500001e-06 8.723306412155962e-08
1.00000 1.50000 300.000 350.000 0.00021650258593749994 1.1109452780425569e-07	1.00000 1.50000 300.000 350.000 3.3817121875e-06 1.1032814891785606e-07
1.00000 1.50000 350.000 400.000 0.000190098859375 1.0887082534234722e-07	1.00000 1.50000 350.000 400.000 2.444325625e-06 9.823622982379843e-08
1.00000 1.50000 400.000 450.000 0.00016485505468749996 1.0574626936675047e-07	1.00000 1.50000 400.000 450.000 2.0646409375000004e-06 1.5557200775640326e-07
1.00000 1.50000 450.000 500.000 0.00014227365625 1.0573895816864788e-07	1.00000 1.50000 450.000 500.000 1.3990113749999995e-06 9.1071783289986e-08
1.00000 1.50000 500.000 550.000 0.00012209609374999998 9.989497379450228e-08	1.00000 1.50000 500.000 550.000 1.3589088750000001e-06 3.318988899486367e-07
1.00000 1.50000 550.000 600.000 0.00010475282812499997 9.624986404836655e-08	1.00000 1.50000 550.000 600.000 9.356584374999997e-07 1.0754533023255683e-07
1.00000 1.50000 600.000 650.000 9.010983359374999e-05 9.716568186501237e-08	1.00000 1.50000 600.000 650.000 6.8859753125e-07 6.638111562898791e-08
1.00000 1.50000 650.000 700.000 7.774158828125002e-05 9.425052791659257e-08	1.00000 1.50000 650.000 700.000 4.924214062500001e-07 2.8928769938771184e-08
1.00000 1.50000 700.000 750.000 6.713669062500003e-05 9.487700714512436e-08	1.00000 1.50000 700.000 750.000 4.826574375e-07 5.4328010670934935e-08
1.00000 1.50000 750.000 800.000 5.8082928124999995e-05 9.02745604502209e-08	1.00000 1.50000 750.000 800.000 4.491855343750001e-07 5.7104926201938124e-08
1.00000 1.50000 800.000 850.000 5.043116093750001e-05 8.851547389605718e-08	1.00000 1.50000 800.000 850.000 3.01706609375e-07 3.26743632887962e-08
1.00000 1.50000 850.000 900.000 4.392696171875001e-05 8.912642949740515e-08	1.00000 1.50000 850.000 900.000 2.7333494375000004e-07 3.037770711711843e-08
1.00000 1.50000 900.000 950.000 3.858058437500001e-05 9.115835164845694e-08	1.00000 1.50000 900.000 950.000 1.8158501249999996e-07 2.1158511418352105e-08
1.00000 1.50000 950.000 1000.00 3.361561484375e-05 8.327887827051234e-08	1.00000 1.50000 950.000 1000.00 1.211148540625e-07 1.583191187462852e-08
1.00000 1.50000 1000.00 1050.00 0.0002731039531250001 4.7120108943067175e-07	1.00000 1.50000 1000.00 1050.00 1.0102134375e-06 1.2977145644003017e-07
 	 
1.50000 2.00000 -50.0000 0.00000 0.0 0.0	1.50000 2.00000 -50.0000 0.00000 0.0 0.0
1.50000 2.00000 0.00000 50.0000 0.0 0.0	1.50000 2.00000 0.00000 50.0000 0.0 0.0
1.50000 2.00000 50.0000 100.000 1.1735042187500001e-05 3.5027960159775714e-08	1.50000 2.00000 50.0000 100.000 0.000338784 1.2521415125818495e-06
1.50000 2.00000 100.000 150.000 0.00011391917187500002 1.0380302499142571e-07	1.50000 2.00000 100.000 150.000 1.9560703125e-05 9.594682653663015e-08
1.50000 2.00000 150.000 200.000 0.0002529270078125 1.4419713930225138e-07	1.50000 2.00000 150.000 200.000 9.1206196875e-06 7.959741572825834e-08
1.50000 2.00000 200.000 250.000 0.00033684111718749993 1.551955691111332e-07	1.50000 2.00000 200.000 250.000 5.601699062500001e-06 8.89245844320297e-08
1.50000 2.00000 250.000 300.000 0.00036209124999999985 1.7776653201140824e-07	1.50000 2.00000 250.000 300.000 3.873083125e-06 8.9371519726639e-08
1.50000 2.00000 300.000 350.000 0.0003514003125 1.5058384730320192e-07	1.50000 2.00000 300.000 350.000 2.7092240625e-06 1.1454278750137418e-07
1.50000 2.00000 350.000 400.000 0.00032440685156250005 1.4670946369496685e-07	1.50000 2.00000 350.000 400.000 1.9748065624999997e-06 7.978057786942688e-08
1.50000 2.00000 400.000 450.000 0.0002912196015625001 1.4339330848578591e-07	1.50000 2.00000 400.000 450.000 1.5301375e-06 1.1865384621376307e-07
1.50000 2.00000 450.000 500.000 0.0002570750234375 1.3678711783282444e-07	1.50000 2.00000 450.000 500.000 1.14926565625e-06 6.010327447251276e-08
1.50000 2.00000 500.000 550.000 0.00022496124218749993 1.305517426128168e-07	1.50000 2.00000 500.000 550.000 9.1153915625e-07 4.095823787966991e-08
1.50000 2.00000 550.000 600.000 0.00019646796875000006 1.3145354444781734e-07	1.50000 2.00000 550.000 600.000 6.822725000000001e-07 4.0288257738769705e-08
1.50000 2.00000 600.000 650.000 0.00017109685156250002 1.2267269957095439e-07	1.50000 2.00000 600.000 650.000 5.4215890625e-07 5.6517162256128504e-08
1.50000 2.00000 650.000 700.000 0.00014827996874999992 1.1927537276894137e-07	1.50000 2.00000 650.000 700.000 4.4133803125000004e-07 3.935226676394306e-08
1.50000 2.00000 700.000 750.000 0.00012888235156249993 1.1458495531105503e-07	1.50000 2.00000 700.000 750.000 3.7810734375e-07 3.4094573697564145e-08
1.50000 2.00000 750.000 800.000 0.0001123610546875 1.1154066201535966e-07	1.50000 2.00000 750.000 800.000 2.96761059375e-07 3.104653617207946e-08
1.50000 2.00000 800.000 850.000 9.810495390625007e-05 1.0905561466255972e-07	1.50000 2.00000 800.000 850.000 2.9386148749999996e-07 3.2037217364669234e-08
1.50000 2.00000 850.000 900.000 8.571432734375002e-05 1.0569058529532497e-07	1.50000 2.00000 850.000 900.000 1.410889278125e-07 1.8049615870000172e-08
1.50000 2.00000 900.000 950.000 7.470097421874998e-05 1.013179373824043e-07	1.50000 2.00000 900.000 950.000 1.848898890625e-07 3.7646442935666654e-08
1.50000 2.00000 950.000 1000.00 6.587736640625003e-05 1.004652274205367e-07	1.50000 2.00000 950.000 1000.00 1.800388103125e-07 3.6543475103918675e-08
1.50000 2.00000 1000.00 1050.00 0.0005377659062500002 4.4359368952326557e-07	1.50000 2.00000 1000.00 1050.00 1.1726221875000003e-06 1.8761907123071333e-07
 	 
2.00000 2.50000 -50.0000 0.00000 0.0 0.0	2.00000 2.50000 -50.0000 0.00000 0.0 0.0
2.00000 2.50000 0.00000 50.0000 0.0 0.0	2.00000 2.50000 0.00000 50.0000 0.0 0.0
2.00000 2.50000 50.0000 100.000 1.0891534218749999e-06 1.0412286843978533e-08	2.00000 2.50000 50.0000 100.000 9.243284062500003e-06 2.3706663679361494e-07
2.00000 2.50000 100.000 150.000 5.089803515625e-05 7.837282673512613e-08	2.00000 2.50000 100.000 150.000 5.0249671875e-06 5.0198480852340666e-08
2.00000 2.50000 150.000 200.000 0.000185775734375 1.4083034188147068e-07	2.00000 2.50000 150.000 200.000 4.3264509374999995e-06 6.344897758634061e-08
2.00000 2.50000 200.000 250.000 0.0003251991484374998 1.7522481585123749e-07	2.00000 2.50000 200.000 250.000 3.3174140625e-06 6.08631441204732e-08
2.00000 2.50000 250.000 300.000 0.0004149201015624997 1.9173054503489384e-07	2.00000 2.50000 250.000 300.000 2.6346675000000002e-06 8.916720094924504e-08
2.00000 2.50000 300.000 350.000 0.0004519562500000001 1.8736092367278466e-07	2.00000 2.50000 300.000 350.000 2.0675503125000002e-06 8.370287181009867e-08
2.00000 2.50000 350.000 400.000 0.0004522609843749999 1.908608768191399e-07	2.00000 2.50000 350.000 400.000 1.9098328125e-06 3.40355766105751e-07
2.00000 2.50000 400.000 450.000 0.0004314008828124999 1.7699112998358132e-07	2.00000 2.50000 400.000 450.000 1.1772371562500001e-06 6.458160763882778e-08
2.00000 2.50000 450.000 500.000 0.0003993152343749999 1.6793371243591853e-07	2.00000 2.50000 450.000 500.000 8.929345624999999e-07 6.881700792097997e-08
2.00000 2.50000 500.000 550.000 0.0003624253046875001 1.655733672299327e-07	2.00000 2.50000 500.000 550.000 7.993420937500001e-07 7.41225271264153e-08
2.00000 2.50000 550.000 600.000 0.00032523523437499993 1.5762564190937114e-07	2.00000 2.50000 550.000 600.000 5.71981125e-07 3.5433325841509516e-08
2.00000 2.50000 600.000 650.000 0.0002896598203125 1.4969899581199318e-07	2.00000 2.50000 600.000 650.000 4.3289099999999993e-07 3.851243765047188e-08
2.00000 2.50000 650.000 700.000 0.00025672114062499994 1.464428136828356e-07	2.00000 2.50000 650.000 700.000 3.715858156250001e-07 3.569331003440981e-08
2.00000 2.50000 700.000 750.000 0.00022681193750000004 1.3940161669531694e-07	2.00000 2.50000 700.000 750.000 2.7768565937500004e-07 2.8678553958095796e-08
2.00000 2.50000 750.000 800.000 0.00020041824218749996 1.332295433738561e-07	2.00000 2.50000 750.000 800.000 3.245294125e-07 8.933184119135512e-08
2.00000 2.50000 800.000 850.000 0.00017661150000000006 1.2910162093368101e-07	2.00000 2.50000 800.000 850.000 7.27464284375e-07 4.869095692156003e-07
2.00000 2.50000 850.000 900.000 0.00015579074218749999 1.2377956924102183e-07	2.00000 2.50000 850.000 900.000 1.53527671875e-07 3.168017892677843e-08
2.00000 2.50000 900.000 950.000 0.00013765977343749994 1.2050604210460084e-07	2.00000 2.50000 900.000 950.000 9.51633971875e-08 1.529796351755805e-08
2.00000 2.50000 950.000 1000.00 0.00012169347656250001 1.1768364196211612e-07	2.00000 2.50000 950.000 1000.00 1.0280856735068749e-07 2.44235775546449e-08
2.00000 2.50000 1000.00 1050.00 0.0010199087500000002 4.5644625728666386e-07	2.00000 2.50000 1000.00 1050.00 5.74812955625e-07 1.0545744091819717e-07
 	 
2.50000 3.00000 -50.0000 0.00000 0.0 0.0	2.50000 3.00000 -50.0000 0.00000 0.0 0.0
2.50000 3.00000 0.00000 50.0000 0.0 0.0	2.50000 3.00000 0.00000 50.0000 0.0 0.0
2.50000 3.00000 50.0000 100.000 4.4697153046874997e-10 1.4322734375e-11	2.50000 3.00000 50.0000 100.000 1.6780081715625003e-10 4.1367937395248e-11
2.50000 3.00000 100.000 150.000 1.003224484375e-05 2.99557987305528e-08	2.50000 3.00000 100.000 150.000 5.76795875e-07 1.8762008308274874e-08
2.50000 3.00000 150.000 200.000 8.525917187499998e-05 9.925221851412701e-08	2.50000 3.00000 150.000 200.000 1.3777359375e-06 3.279188993292527e-08
2.50000 3.00000 200.000 250.000 0.00021168257031250006 1.4528594792128038e-07	2.50000 3.00000 200.000 250.000 1.5647399999999999e-06 4.654606596914003e-08
2.50000 3.00000 250.000 300.000 0.0003396704765624999 1.7938287338158644e-07	2.50000 3.00000 250.000 300.000 1.3360156250000002e-06 3.568842849904963e-08
2.50000 3.00000 300.000 350.000 0.0004337146875 2.2136550259997407e-07	2.50000 3.00000 300.000 350.000 1.20214396875e-06 5.794023538553424e-08
2.50000 3.00000 350.000 400.000 0.00048690046875000004 2.0471362928527481e-07	2.50000 3.00000 350.000 400.000 9.6755721875e-07 5.2691544711700905e-08
2.50000 3.00000 400.000 450.000 0.0005063522109375001 2.0607301780646823e-07	2.50000 3.00000 400.000 450.000 8.305103437500003e-07 5.0559886702758653e-08
2.50000 3.00000 450.000 500.000 0.0005014431015625 2.0992383207350308e-07	2.50000 3.00000 450.000 500.000 5.943323749999999e-07 3.3352000982797916e-08
2.50000 3.00000 500.000 550.000 0.00048147682812499994 1.8989067652454903e-07	2.50000 3.00000 500.000 550.000 4.946345625000001e-07 2.697412432123536e-08
2.50000 3.00000 550.000 600.000 0.0004519150312500002 1.8277576327313118e-07	2.50000 3.00000 550.000 600.000 4.2536609374999994e-07 3.0783852997571843e-08
2.50000 3.00000 600.000 650.000 0.0004184222500000001 1.7565123569054522e-07	2.50000 3.00000 600.000 650.000 2.9934369999999995e-07 3.7750915224171426e-08
2.50000 3.00000 650.000 700.000 0.0003827497734375 1.697288107687686e-07	2.50000 3.00000 650.000 700.000 2.9912548125000005e-07 2.929891143984288e-08
2.50000 3.00000 700.000 750.000 0.0003477417578124998 1.627449590522475e-07	2.50000 3.00000 700.000 750.000 1.8622199374999996e-07 2.024888462671815e-08
2.50000 3.00000 750.000 800.000 0.00031403203125000004 1.565399991309294e-07	2.50000 3.00000 750.000 800.000 1.6132865625e-07 1.971764714049152e-08
2.50000 3.00000 800.000 850.000 0.0002828396015625 1.5359629150902672e-07	2.50000 3.00000 800.000 850.000 1.2719517634374998e-07 2.0063881833437574e-08
2.50000 3.00000 850.000 900.000 0.00025353022656249996 1.4274086108139997e-07	2.50000 3.00000 850.000 900.000 1.3131614456250002e-07 2.559060672989584e-08
2.50000 3.00000 900.000 950.000 0.000227524046875 1.3803788892028732e-07	2.50000 3.00000 900.000 950.000 1.6352173423437498e-07 3.0775691952639746e-08
2.50000 3.00000 950.000 1000.00 0.0002037191328125 1.367598468480197e-07	2.50000 3.00000 950.000 1000.00 1.0755034079562499e-07 2.345371143991888e-08
2.50000 3.00000 1000.00 1050.00 0.001821134453125 4.880557629238437e-07	2.50000 3.00000 1000.00 1050.00 3.6923894062499995e-07 6.618728077923843e-08
 	 
3.00000 3.50000 -50.0000 0.00000 0.0 0.0	3.00000 3.50000 -50.0000 0.00000 0.0 0.0
3.00000 3.50000 0.00000 50.0000 0.0 0.0	3.00000 3.50000 0.00000 50.0000 0.0 0.0
3.00000 3.50000 50.0000 100.000 0.0 0.0	3.00000 3.50000 50.0000 100.000 0.0 0.0
3.00000 3.50000 100.000 150.000 2.1764740703125e-07 5.2369175830343315e-09	3.00000 3.50000 100.000 150.000 5.106319781250001e-09 8.661369521347062e-10
3.00000 3.50000 150.000 200.000 1.925833984375e-05 4.630291714126412e-08	3.00000 3.50000 150.000 200.000 2.3885106250000004e-07 1.3870921663758644e-08
3.00000 3.50000 200.000 250.000 8.776724921875001e-05 1.0362746192956233e-07	3.00000 3.50000 200.000 250.000 5.954519375e-07 3.609454461194573e-08
3.00000 3.50000 250.000 300.000 0.00018896860937499997 1.397958563750856e-07	3.00000 3.50000 250.000 300.000 5.864537187499999e-07 2.8988437569486887e-08
3.00000 3.50000 300.000 350.000 0.0002959317031249999 1.7577792117285545e-07	3.00000 3.50000 300.000 350.000 7.065791562499999e-07 6.644244853038664e-08
3.00000 3.50000 350.000 400.000 0.00038657177343749997 1.8841744778233413e-07	3.00000 3.50000 350.000 400.000 4.919385625e-07 2.435176968296489e-08
3.00000 3.50000 400.000 450.000 0.00045036886718749996 1.9822563855313303e-07	3.00000 3.50000 400.000 450.000 4.1491890625000004e-07 2.1595427127040496e-08
3.00000 3.50000 450.000 500.000 0.0004891027812499999 2.0571976935011583e-07	3.00000 3.50000 450.000 500.000 4.039339375e-07 4.238975826649332e-08
3.00000 3.50000 500.000 550.000 0.0005055842187500002 2.0909374771388626e-07	3.00000 3.50000 500.000 550.000 2.972385624999999e-07 2.124308442682868e-08
3.00000 3.50000 550.000 600.000 0.0005046817265625 2.001291247197116e-07	3.00000 3.50000 550.000 600.000 2.591577937499999e-07 2.499648400314165e-08
3.00000 3.50000 600.000 650.000 0.0004918971484375002 1.9495363624178144e-07	3.00000 3.50000 600.000 650.000 2.24912425e-07 2.287328038106324e-08
3.00000 3.50000 650.000 700.000 0.00047119064062500017 1.8925005344842232e-07	3.00000 3.50000 650.000 700.000 2.1649515937499996e-07 2.6794960793644378e-08
3.00000 3.50000 700.000 750.000 0.0004448391875000001 1.8238016306897766e-07	3.00000 3.50000 700.000 750.000 1.7578250249999998e-07 3.0772930227374855e-08
3.00000 3.50000 750.000 800.000 0.0004161267656249997 1.7730914142531793e-07	3.00000 3.50000 750.000 800.000 1.36253445625e-07 2.329006104230542e-08
3.00000 3.50000 800.000 850.000 0.0003856893281249997 1.6915382329885744e-07	3.00000 3.50000 800.000 850.000 1.3347826212500004e-07 3.1740225066842375e-08
3.00000 3.50000 850.000 900.000 0.00035595914843750007 1.6228742420017586e-07	3.00000 3.50000 850.000 900.000 8.2982362203125e-08 1.7084357027486504e-08
3.00000 3.50000 900.000 950.000 0.000326809734375 1.560793973790848e-07	3.00000 3.50000 900.000 950.000 9.528633875531253e-08 3.148395368136089e-08
3.00000 3.50000 950.000 1000.00 0.00029883940625000013 1.5056631634928892e-07	3.00000 3.50000 950.000 1000.00 3.8886462373781257e-08 1.1408306801684152e-08
3.00000 3.50000 1000.00 1050.00 0.0029782318749999965 5.340532095200187e-07	3.00000 3.50000 1000.00 1050.00 4.04117086993125e-07 1.1837219771527993e-07
 	 
3.50000 4.00000 -50.0000 0.00000 0.0 0.0	3.50000 4.00000 -50.0000 0.00000 0.0 0.0
3.50000 4.00000 0.00000 50.0000 0.0 0.0	3.50000 4.00000 0.00000 50.0000 0.0 0.0
3.50000 4.00000 50.0000 100.000 0.0 0.0	3.50000 4.00000 50.0000 100.000 0.0 0.0
3.50000 4.00000 100.000 150.000 0.0 0.0	3.50000 4.00000 100.000 150.000 0.0 0.0
3.50000 4.00000 150.000 200.000 6.713504140625e-07 7.0004598143025616e-09	3.50000 4.00000 150.000 200.000 6.788579334375e-09 2.6313755997384404e-09
3.50000 4.00000 200.000 250.000 1.79698046875e-05 4.162568013114979e-08	3.50000 4.00000 200.000 250.000 8.657946250000001e-08 1.1445202713725111e-08
3.50000 4.00000 250.000 300.000 6.58736796875e-05 8.491617773638089e-08	3.50000 4.00000 250.000 300.000 2.0628442187500003e-07 3.309193963558122e-08
3.50000 4.00000 300.000 350.000 0.00013580694531249994 1.371449747284078e-07	3.50000 4.00000 300.000 350.000 1.9002172187500002e-07 1.0180427823377178e-08
