 #          26 : dS/dy_{j1} (fb/GeV)	 #          26 : dS/dy_{j1} (fb/GeV)
-5.50000 -5.00000 0.0 0.0	-5.50000 -5.00000 0.0 0.0
-5.00000 -4.50000 0.0 0.0	-5.00000 -4.50000 0.0 0.0
-4.50000 -4.00000 0.017345528346456696 1.2591151046656035e-05	-4.50000 -4.00000 1.8070296875000002e-06 3.956667370717432e-08
-4.00000 -3.50000 0.06606128267716532 2.045874748349476e-05	-4.00000 -3.50000 9.235475624999997e-06 9.527798344497442e-08
-3.50000 -3.00000 0.16031344094488187 2.6493996673688698e-05	-3.50000 -3.00000 2.97217125e-05 1.3586791783923008e-07
-3.00000 -2.50000 0.2674262755905512 3.10136648815879e-05	-3.00000 -2.50000 6.5713603125e-05 1.8991819813215802e-07
-2.50000 -2.00000 0.32775466141732296 3.286886467189382e-05	-2.50000 -2.00000 0.00010497853124999999 3.8260246690684464e-07
-2.00000 -1.50000 0.31609325196850385 3.355147295328551e-05	-2.00000 -1.50000 0.000136357875 2.416640784364589e-07
-1.50000 -1.00000 0.25393020472440947 3.308197809743316e-05	-1.50000 -1.00000 0.00015886615625 2.964889533580954e-07
-1.00000 -0.500000 0.18356785039370077 3.100693397300393e-05	-1.00000 -0.500000 0.0001802531875 7.06982838718163e-07
-0.500000 0.00000 0.13966832283464564 2.702960080822057e-05	-0.500000 0.00000 0.00019237346875000002 3.148667351585032e-07
0.00000 0.500000 0.1396081811023621 2.707774826724092e-05	0.00000 0.500000 0.00019317837500000003 3.307057932149329e-07
0.500000 1.00000 0.18355486614173228 2.9875722063688627e-05	0.500000 1.00000 0.00017895234375 3.0918871326386677e-07
1.00000 1.50000 0.2539178188976377 3.5289842028544885e-05	1.00000 1.50000 0.00015910796875 2.885601353169572e-07
1.50000 2.00000 0.3160823543307086 3.323276462195391e-05	1.50000 2.00000 0.00013652571875 2.6674930127621266e-07
2.00000 2.50000 0.3277771338582679 3.274974853068515e-05	2.00000 2.50000 0.00010519253125000002 2.211244050199939e-07
2.50000 3.00000 0.26742592913385826 3.070451444899254e-05	2.50000 3.00000 6.562620625000001e-05 1.894563445308785e-07
3.00000 3.50000 0.1603161496062992 2.6855582357550166e-05	3.00000 3.50000 2.994176875e-05 1.3799522461068188e-07
3.50000 4.00000 0.06604915433070864 1.9819978578069696e-05	3.50000 4.00000 9.326187187500003e-06 8.590644247617919e-08
4.00000 4.50000 0.01734119606299213 1.2184653815433545e-05	4.00000 4.50000 1.7996834375000002e-06 3.839687995212133e-08
4.50000 5.00000 0.0 0.0	4.50000 5.00000 0.0 0.0
5.00000 5.50000 0.0 0.0	5.00000 5.50000 0.0 0.0
