 #          51 :  d2S/dy_jj dm_jj (fb/GeV) (NLO)	 #          51 :  d2S/dy_jj dm_jj (fb/GeV) (NLO)
0.00000 0.500000 400.000 450.000 8.538669218750002e-05 2.2687980422705587e-07	0.00000 0.500000 400.000 450.000 0.00015429609375 6.174859470749586e-07
0.00000 0.500000 450.000 500.000 6.759880078124997e-05 2.291073465289686e-07	0.00000 0.500000 450.000 500.000 0.00011583849999999999 4.974688122087758e-07
0.00000 0.500000 500.000 550.000 5.497021718749998e-05 2.2438534755159389e-07	0.00000 0.500000 500.000 550.000 8.7751503125e-05 4.805119417351639e-07
0.00000 0.500000 550.000 600.000 4.491230078125001e-05 2.3806215364955108e-07	0.00000 0.500000 550.000 600.000 6.712088437499998e-05 4.1712056959621815e-07
0.00000 0.500000 600.000 650.000 3.703360078125001e-05 2.3229051940206957e-07	0.00000 0.500000 600.000 650.000 5.1638981250000005e-05 3.683831190812405e-07
0.00000 0.500000 650.000 700.000 3.056677421875e-05 2.3056667164500564e-07	0.00000 0.500000 650.000 700.000 4.1093753125e-05 4.0942716773260057e-07
0.00000 0.500000 700.000 750.000 2.5795164843749985e-05 2.128250170405446e-07	0.00000 0.500000 700.000 750.000 3.183505312500001e-05 3.106203229943735e-07
0.00000 0.500000 750.000 800.000 2.1762007031249988e-05 2.316967049241028e-07	0.00000 0.500000 750.000 800.000 2.4684356250000002e-05 2.8767579422860486e-07
0.00000 0.500000 800.000 850.000 1.8686873437500007e-05 2.0255901128702386e-07	0.00000 0.500000 800.000 850.000 2.0663443749999997e-05 2.876627359901587e-07
0.00000 0.500000 850.000 900.000 1.5729492265625e-05 1.951569990052993e-07	0.00000 0.500000 850.000 900.000 1.6806356250000004e-05 2.978952497969298e-07
0.00000 0.500000 900.000 950.000 1.3296274140624998e-05 1.918150218536012e-07	0.00000 0.500000 900.000 950.000 1.4167396875000002e-05 3.1409971813591546e-07
0.00000 0.500000 950.000 1000.00 1.1492241484374992e-05 1.7802305012872977e-07	0.00000 0.500000 950.000 1000.00 1.1969476249999998e-05 2.654976197496753e-07
0.00000 0.500000 1000.00 1050.00 8.849551562500005e-05 5.756433316573548e-07	0.00000 0.500000 1000.00 1050.00 7.566925312500002e-05 9.235177147893727e-07
 	 
0.500000 1.00000 -50.0000 0.00000 0.0 0.0	0.500000 1.00000 -50.0000 0.00000 0.0 0.0
0.500000 1.00000 0.00000 50.0000 0.0001909487890625003 2.608315473495395e-07	0.500000 1.00000 0.00000 50.0000 0.0004540450937500001 1.4574227381358674e-06
0.500000 1.00000 50.0000 100.000 0.000658486953125 5.254660023285171e-07	0.500000 1.00000 50.0000 100.000 0.005835926875000001 1.1853250250587256e-05
0.500000 1.00000 100.000 150.000 0.000550338109375 4.783868511128389e-07	0.500000 1.00000 100.000 150.000 0.001353149375 1.794730463428207e-06
0.500000 1.00000 150.000 200.000 0.00040643733593749977 6.393928657105609e-07	0.500000 1.00000 150.000 200.000 0.0008464639999999998 1.3608840444186353e-06
0.500000 1.00000 200.000 250.000 0.0003021132500000001 5.992915419243138e-07	0.500000 1.00000 200.000 250.000 0.0005574954999999998 9.53650008906467e-07
0.500000 1.00000 250.000 300.000 0.0002278350234375001 4.888625947611933e-07	0.500000 1.00000 250.000 300.000 0.00038488687499999995 8.077076667105422e-07
0.500000 1.00000 300.000 350.000 0.00017845103906249986 3.709952850663568e-07	0.500000 1.00000 300.000 350.000 0.0002759538437500001 7.064604929317277e-07
0.500000 1.00000 350.000 400.000 0.0001406537421875 3.3684854257601227e-07	0.500000 1.00000 350.000 400.000 0.00020092459375 6.320405462830694e-07
0.500000 1.00000 400.000 450.000 0.00011331792187499997 3.167505053982166e-07	0.500000 1.00000 400.000 450.000 0.000149034625 5.332123222930217e-07
0.500000 1.00000 450.000 500.000 9.126871640624998e-05 3.278759899724421e-07	0.500000 1.00000 450.000 500.000 0.00011236721875000002 4.844589746476984e-07
0.500000 1.00000 500.000 550.000 7.524285937500002e-05 2.8581178447361853e-07	0.500000 1.00000 500.000 550.000 8.574400625000001e-05 5.999924036695238e-07
0.500000 1.00000 550.000 600.000 6.202378281249999e-05 3.3344105046144327e-07	0.500000 1.00000 550.000 600.000 6.576343437500001e-05 5.256435067719597e-07
0.500000 1.00000 600.000 650.000 5.1686437499999986e-05 3.845460064674016e-07	0.500000 1.00000 600.000 650.000 5.0175065624999995e-05 4.033460657351736e-07
0.500000 1.00000 650.000 700.000 4.3801521093749974e-05 6.125844113042144e-07	0.500000 1.00000 650.000 700.000 3.936537812499999e-05 3.571172583996397e-07
0.500000 1.00000 700.000 750.000 3.6597760156250014e-05 2.768727859897106e-07	0.500000 1.00000 700.000 750.000 3.0532537500000005e-05 3.2743558228076547e-07
0.500000 1.00000 750.000 800.000 3.103130937499999e-05 2.9099007734232847e-07	0.500000 1.00000 750.000 800.000 2.499751875e-05 3.2745239848925703e-07
0.500000 1.00000 800.000 850.000 2.6953130468750005e-05 2.776489376501433e-07	0.500000 1.00000 800.000 850.000 1.9633309375000004e-05 2.6411436828085756e-07
0.500000 1.00000 850.000 900.000 2.2447306874999994e-05 3.0150848660074723e-07	0.500000 1.00000 850.000 900.000 1.6001934374999995e-05 2.7890569996701015e-07
0.500000 1.00000 900.000 950.000 1.9687055468750002e-05 2.526426977857183e-07	0.500000 1.00000 900.000 950.000 1.3227117812499999e-05 2.9596182126208523e-07
0.500000 1.00000 950.000 1000.00 1.7124209375e-05 2.204544432378226e-07	0.500000 1.00000 950.000 1000.00 1.1054221250000001e-05 2.7833324390429385e-07
0.500000 1.00000 1000.00 1050.00 0.00013226547656250003 5.96353420970089e-07	0.500000 1.00000 1000.00 1050.00 7.081102499999998e-05 7.786920312036452e-07
 	 
1.00000 1.50000 -50.0000 0.00000 0.0 0.0	1.00000 1.50000 -50.0000 0.00000 0.0 0.0
1.00000 1.50000 0.00000 50.0000 5.576241640625e-06 5.0047466224039845e-08	1.00000 1.50000 0.00000 50.0000 3.5401731249999994e-05 5.173262345917467e-07
1.00000 1.50000 50.0000 100.000 0.00018385460937499987 2.9021648411222934e-07	1.00000 1.50000 50.0000 100.000 0.00257844625 7.985472392305387e-06
1.00000 1.50000 100.000 150.000 0.0003739884296874999 4.239084687530053e-07	1.00000 1.50000 100.000 150.000 0.0011654299999999999 1.8100144391197743e-06
1.00000 1.50000 150.000 200.000 0.0004014194375000001 5.451713549488144e-07	1.00000 1.50000 150.000 200.000 0.0007931165624999999 1.299935258637493e-06
1.00000 1.50000 200.000 250.000 0.0003578094999999999 6.550038231719375e-07	1.00000 1.50000 200.000 250.000 0.0005304616562500001 9.085659133161659e-07
1.00000 1.50000 250.000 300.000 0.00030263541406249994 4.973707188457976e-07	1.00000 1.50000 250.000 300.000 0.00036458534374999993 7.847365260008874e-07
1.00000 1.50000 300.000 350.000 0.00025227817968750005 5.014117580844053e-07	1.00000 1.50000 300.000 350.000 0.00025856128125000005 6.61913746830627e-07
1.00000 1.50000 350.000 400.000 0.00020994954687499995 4.376991376345643e-07	1.00000 1.50000 350.000 400.000 0.00018762271874999995 5.795852488905692e-07
1.00000 1.50000 400.000 450.000 0.000175229046875 5.086264684269515e-07	1.00000 1.50000 400.000 450.000 0.00013840328125 5.111995846909342e-07
1.00000 1.50000 450.000 500.000 0.00014589475 4.6164892456880033e-07	1.00000 1.50000 450.000 500.000 0.00010479875000000001 4.806123018741748e-07
1.00000 1.50000 500.000 550.000 0.00012265803125 3.945563463379739e-07	1.00000 1.50000 500.000 550.000 7.9542e-05 4.321471917420804e-07
1.00000 1.50000 550.000 600.000 0.00010388984374999998 4.308594453074229e-07	1.00000 1.50000 550.000 600.000 6.1351609375e-05 4.1281333437829664e-07
1.00000 1.50000 600.000 650.000 8.729935624999996e-05 4.4126697525389227e-07	1.00000 1.50000 600.000 650.000 4.721026562500001e-05 3.5504210901226213e-07
1.00000 1.50000 650.000 700.000 7.551591875e-05 4.128652158592781e-07	1.00000 1.50000 650.000 700.000 3.7253749999999995e-05 3.2022628428133275e-07
1.00000 1.50000 700.000 750.000 6.36275734375e-05 3.538504752930515e-07	1.00000 1.50000 700.000 750.000 2.7432812499999997e-05 2.228988102194056e-06
1.00000 1.50000 750.000 800.000 5.46446921875e-05 5.262738911588224e-07	1.00000 1.50000 750.000 800.000 2.3496234375000005e-05 2.8624871727759135e-07
1.00000 1.50000 800.000 850.000 4.6369267968749976e-05 3.36838893057845e-07	1.00000 1.50000 800.000 850.000 1.8094640625e-05 2.4613118698776044e-07
1.00000 1.50000 850.000 900.000 4.0793363281249986e-05 3.5146939844957883e-07	1.00000 1.50000 850.000 900.000 1.4707931249999999e-05 2.2771786278094117e-07
1.00000 1.50000 900.000 950.000 3.560921171875e-05 3.915593602111793e-07	1.00000 1.50000 900.000 950.000 1.18362953125e-05 2.1436115323746714e-07
1.00000 1.50000 950.000 1000.00 3.0212930546875e-05 3.9236129466819833e-07	1.00000 1.50000 950.000 1000.00 1.0323667187500001e-05 2.3628739819677144e-07
1.00000 1.50000 1000.00 1050.00 0.00024418271875000007 7.715021801449919e-07	1.00000 1.50000 1000.00 1050.00 6.534416874999998e-05 2.521929096061277e-06
 	 
1.50000 2.00000 -50.0000 0.00000 0.0 0.0	1.50000 2.00000 -50.0000 0.00000 0.0 0.0
1.50000 2.00000 0.00000 50.0000 5.7064644186718756e-11 8.789140625e-14	1.50000 2.00000 0.00000 50.0000 -1.6192662693750007e-10 2.040421875e-12
1.50000 2.00000 50.0000 100.000 4.0073171875000005e-05 2.4759866863235436e-07	1.50000 2.00000 50.0000 100.000 0.0005481118125 4.446490435866245e-06
1.50000 2.00000 100.000 150.000 0.00021820085937499997 5.084624459019589e-07	1.50000 2.00000 100.000 150.000 0.0007890275937500001 1.4604042936779087e-06
1.50000 2.00000 150.000 200.000 0.00035673793750000003 7.529527029700066e-07	1.50000 2.00000 150.000 200.000 0.0006743388125 1.6564228182096342e-06
1.50000 2.00000 200.000 250.000 0.0004024908828125002 7.778656558986492e-07	1.50000 2.00000 200.000 250.000 0.000474381375 9.481463996548821e-07
1.50000 2.00000 250.000 300.000 0.0003912988671875 6.934488955042835e-07	1.50000 2.00000 250.000 300.000 0.00032883896874999995 7.714994568764417e-07
1.50000 2.00000 300.000 350.000 0.0003545956953125001 6.940531943296376e-07	1.50000 2.00000 300.000 350.000 0.00023379859374999992 6.246026497034748e-07
1.50000 2.00000 350.000 400.000 0.0003154946796875001 7.98733539398678e-07	1.50000 2.00000 350.000 400.000 0.00016895003125 5.288534291008044e-07
1.50000 2.00000 400.000 450.000 0.00027743935937500007 7.695205333698945e-07	1.50000 2.00000 400.000 450.000 0.00012543240625 4.895185450781111e-07
1.50000 2.00000 450.000 500.000 0.0002398843359375001 6.436429326960439e-07	1.50000 2.00000 450.000 500.000 9.44484e-05 4.3308186075502985e-07
1.50000 2.00000 500.000 550.000 0.00020732630468749992 5.929776835023795e-07	1.50000 2.00000 500.000 550.000 7.170418750000003e-05 5.276235759936585e-07
1.50000 2.00000 550.000 600.000 0.00018015097656250015 5.619453103797072e-07	1.50000 2.00000 550.000 600.000 5.5261171875e-05 3.6650429622284746e-07
1.50000 2.00000 600.000 650.000 0.00015448825781250002 6.340248343874726e-07	1.50000 2.00000 600.000 650.000 4.358433125e-05 3.5595041895247345e-07
1.50000 2.00000 650.000 700.000 0.00013309832031250005 6.171429738232547e-07	1.50000 2.00000 650.000 700.000 3.4182746875e-05 6.174755967415933e-07
1.50000 2.00000 700.000 750.000 0.00011577731249999998 5.78216544941785e-07	1.50000 2.00000 700.000 750.000 2.6170353125000007e-05 2.5540959710790104e-07
1.50000 2.00000 750.000 800.000 0.00010110922656249999 5.784474086286447e-07	1.50000 2.00000 750.000 800.000 2.0782490624999996e-05 2.211557375100061e-07
1.50000 2.00000 800.000 850.000 8.631025390625e-05 4.5374610251725273e-07	1.50000 2.00000 800.000 850.000 1.6824334375e-05 2.9088722761410564e-07
1.50000 2.00000 850.000 900.000 7.623617500000001e-05 4.292858031791019e-07	1.50000 2.00000 850.000 900.000 1.3269203125000003e-05 1.9227259681466184e-07
1.50000 2.00000 900.000 950.000 6.562709999999995e-05 4.06529484699388e-07	1.50000 2.00000 900.000 950.000 1.09342128125e-05 2.1280183510427273e-07
1.50000 2.00000 950.000 1000.00 5.9069864062500017e-05 4.5171035099365606e-07	1.50000 2.00000 950.000 1000.00 9.079847187499999e-06 2.1546811382809455e-07
1.50000 2.00000 1000.00 1050.00 0.00047550189062499994 8.024102477431523e-07	1.50000 2.00000 1000.00 1050.00 5.2707887500000007e-05 6.92274840994052e-07
 	 
2.00000 2.50000 -50.0000 0.00000 0.0 0.0	2.00000 2.50000 -50.0000 0.00000 0.0 0.0
2.00000 2.50000 0.00000 50.0000 0.0 0.0	2.00000 2.50000 0.00000 50.0000 0.0 0.0
2.00000 2.50000 50.0000 100.000 3.7788082812499992e-06 7.458309955231034e-08	2.00000 2.50000 50.0000 100.000 3.1045371874999996e-05 8.618870123227549e-07
2.00000 2.50000 100.000 150.000 9.811153515625003e-05 3.3354431088438585e-07	2.00000 2.50000 100.000 150.000 0.00034298687500000007 9.343322324083587e-07
2.00000 2.50000 150.000 200.000 0.00026243889062499995 6.531156177264347e-07	2.00000 2.50000 150.000 200.000 0.0004734663125 1.0466038802829092e-06
2.00000 2.50000 200.000 250.000 0.0003828709921875 7.841645415578464e-07	2.00000 2.50000 200.000 250.000 0.00037971203124999997 8.192510586258466e-07
2.00000 2.50000 250.000 300.000 0.0004404747812499999 8.691673975793234e-07	2.00000 2.50000 250.000 300.000 0.00027963959375 8.054162679898363e-07
2.00000 2.50000 300.000 350.000 0.00044486670312500004 9.307029135124401e-07	2.00000 2.50000 300.000 350.000 0.00020010640625000003 6.136750241223306e-07
2.00000 2.50000 350.000 400.000 0.0004291447656249998 9.894745566410375e-07	2.00000 2.50000 350.000 400.000 0.00014657290625 5.903686956204186e-07
2.00000 2.50000 400.000 450.000 0.00039371811718750003 1.0381705148374063e-06	2.00000 2.50000 400.000 450.000 0.00010909196875000002 4.406071766840706e-07
2.00000 2.50000 450.000 500.000 0.0003623061718750002 1.0082903815040129e-06	2.00000 2.50000 450.000 500.000 8.147656562500001e-05 3.917712053391751e-07
2.00000 2.50000 500.000 550.000 0.0003239891406250002 9.564795491510307e-07	2.00000 2.50000 500.000 550.000 6.3059840625e-05 4.2891734406234957e-07
2.00000 2.50000 550.000 600.000 0.00028861138281250016 8.713083844274002e-07	2.00000 2.50000 550.000 600.000 4.8065465625e-05 3.080918197053209e-07
2.00000 2.50000 600.000 650.000 0.000255343125 6.935004051738937e-07	2.00000 2.50000 600.000 650.000 3.749637187499999e-05 2.8591427977182495e-07
2.00000 2.50000 650.000 700.000 0.00022667360156249992 7.085904557644837e-07	2.00000 2.50000 650.000 700.000 2.9697868750000002e-05 2.710596957893303e-07
2.00000 2.50000 700.000 750.000 0.00019977275 6.953534884682798e-07	2.00000 2.50000 700.000 750.000 2.2966025000000002e-05 2.2188261581560372e-07
2.00000 2.50000 750.000 800.000 0.00017631909375 7.038555052639662e-07	2.00000 2.50000 750.000 800.000 1.8580771874999997e-05 2.1974263860973799e-07
2.00000 2.50000 800.000 850.000 0.0001541390703125 6.53651286962339e-07	2.00000 2.50000 800.000 850.000 1.4893090625000003e-05 2.152584749977556e-07
2.00000 2.50000 850.000 900.000 0.00013487740859375002 9.229051928011009e-07	2.00000 2.50000 850.000 900.000 1.2259455937499998e-05 2.2083553456999273e-07
2.00000 2.50000 900.000 950.000 0.00012109347656250001 8.757686690054226e-07	2.00000 2.50000 900.000 950.000 9.489244999999999e-06 1.467178188131825e-07
2.00000 2.50000 950.000 1000.00 0.00010610042109375004 6.231413147035775e-07	2.00000 2.50000 950.000 1000.00 8.166958749999999e-06 3.733512400519426e-07
2.00000 2.50000 1000.00 1050.00 0.0008979886484375 9.026693995349366e-07	2.00000 2.50000 1000.00 1050.00 4.2316275000000005e-05 4.876916060999528e-07
 	 
2.50000 3.00000 -50.0000 0.00000 0.0 0.0	2.50000 3.00000 -50.0000 0.00000 0.0 0.0
2.50000 3.00000 0.00000 50.0000 0.0 0.0	2.50000 3.00000 0.00000 50.0000 0.0 0.0
2.50000 3.00000 50.0000 100.000 3.0192015421875014e-09 7.937063751607924e-10	2.50000 3.00000 50.0000 100.000 1.3577828593749998e-08 5.919066695128856e-09
2.50000 3.00000 100.000 150.000 2.27440609375e-05 1.8045696790762153e-07	2.50000 3.00000 100.000 150.000 6.452651875000001e-05 4.5165072200322584e-07
2.50000 3.00000 150.000 200.000 0.00013764543749999997 4.740067330451965e-07	2.50000 3.00000 150.000 200.000 0.00022934071875 6.985766334464411e-07
2.50000 3.00000 200.000 250.000 0.00027603092968749997 7.82266558542458e-07	2.50000 3.00000 200.000 250.000 0.00025611859374999996 7.451899680582977e-07
2.50000 3.00000 250.000 300.000 0.0003878013046874999 9.087354830831978e-07	2.50000 3.00000 250.000 300.000 0.00020907453125 6.287505352945659e-07
2.50000 3.00000 300.000 350.000 0.000453901875 1.1290223410964776e-06	2.50000 3.00000 300.000 350.000 0.00015921315625 5.309498767380995e-07
2.50000 3.00000 350.000 400.000 0.0004791467187499999 1.3678657626191783e-06	2.50000 3.00000 350.000 400.000 0.00011809884374999998 4.344857129808444e-07
2.50000 3.00000 400.000 450.000 0.00047627119531249985 1.3853517460451557e-06	2.50000 3.00000 400.000 450.000 8.8846740625e-05 3.717168808197014e-07
2.50000 3.00000 450.000 500.000 0.00046160296093750007 1.0271978872864407e-06	2.50000 3.00000 450.000 500.000 6.7299371875e-05 3.3830781210944176e-07
2.50000 3.00000 500.000 550.000 0.0004341787890624997 9.906169447775777e-07	2.50000 3.00000 500.000 550.000 5.1972884375e-05 3.124719256158013e-07
2.50000 3.00000 550.000 600.000 0.00040348973437500003 9.789950995263867e-07	2.50000 3.00000 550.000 600.000 4.0453231250000005e-05 2.779453550510129e-07
2.50000 3.00000 600.000 650.000 0.00037047192187500004 1.7223280069361279e-06	2.50000 3.00000 600.000 650.000 3.130705e-05 2.37633142820208e-07
2.50000 3.00000 650.000 700.000 0.00033768727343750005 1.6840839644999205e-06	2.50000 3.00000 650.000 700.000 2.5117265625e-05 2.2344699536387054e-07
2.50000 3.00000 700.000 750.000 0.0003034054765625 1.0279721844159311e-06	2.50000 3.00000 700.000 750.000 2.0067159375000003e-05 2.418846651112154e-07
2.50000 3.00000 750.000 800.000 0.00027567214062499995 1.0224827236086314e-06	2.50000 3.00000 750.000 800.000 1.5818003124999998e-05 1.8438029322701088e-07
2.50000 3.00000 800.000 850.000 0.00024659791406249994 7.699294925854925e-07	2.50000 3.00000 800.000 850.000 1.2695590624999998e-05 1.8972005178228123e-07
2.50000 3.00000 850.000 900.000 0.00022116452343749995 9.57162608647482e-07	2.50000 3.00000 850.000 900.000 1.0122963437499998e-05 1.6536441715194636e-07
2.50000 3.00000 900.000 950.000 0.0001985040546875001 9.94410049900629e-07	2.50000 3.00000 900.000 950.000 8.581571875e-06 1.8864392314175275e-07
2.50000 3.00000 950.000 1000.00 0.00017761321875000004 7.661100285926012e-07	2.50000 3.00000 950.000 1000.00 6.894509375e-06 1.3260569872807922e-07
2.50000 3.00000 1000.00 1050.00 0.0016014790624999998 1.0395127548835708e-06	2.50000 3.00000 1000.00 1050.00 3.4985581250000006e-05 3.938698174242754e-07
 	 
3.00000 3.50000 -50.0000 0.00000 0.0 0.0	3.00000 3.50000 -50.0000 0.00000 0.0 0.0
3.00000 3.50000 0.00000 50.0000 0.0 0.0	3.00000 3.50000 0.00000 50.0000 0.0 0.0
3.00000 3.50000 50.0000 100.000 0.0 0.0	3.00000 3.50000 50.0000 100.000 0.0 0.0
3.00000 3.50000 100.000 150.000 5.540898991406253e-07 3.0949232742060607e-08	3.00000 3.50000 100.000 150.000 1.5889943749999996e-06 6.109609543299966e-08
3.00000 3.50000 150.000 200.000 3.9948807031250005e-05 2.3233237878146713e-07	3.00000 3.50000 150.000 200.000 5.367651875000001e-05 3.4749284531430126e-07
3.00000 3.50000 200.000 250.000 0.00013686635156249998 5.325094725172378e-07	3.00000 3.50000 200.000 250.000 0.00011782293749999998 5.313653487982779e-07
3.00000 3.50000 250.000 300.000 0.00024775892968750005 7.59978392022606e-07	3.00000 3.50000 250.000 300.000 0.00012743606250000003 4.805649522964441e-07
3.00000 3.50000 300.000 350.000 0.0003486375390625 9.723191749169734e-07	3.00000 3.50000 300.000 350.000 0.00011003159375 5.087893789570993e-07
3.00000 3.50000 350.000 400.000 0.0004193965234375001 1.1674373713243797e-06	3.00000 3.50000 350.000 400.000 8.711907812499999e-05 3.6342859534743677e-07
3.00000 3.50000 400.000 450.000 0.00045844103906249984 1.4160641479678156e-06	3.00000 3.50000 400.000 450.000 6.790978125e-05 3.233891050252365e-07
3.00000 3.50000 450.000 500.000 0.00047635941406250004 2.9703241544808952e-06	3.00000 3.50000 450.000 500.000 5.280445625e-05 2.951425677089432e-07
3.00000 3.50000 500.000 550.000 0.00047608857812499997 2.1298534519682886e-06	3.00000 3.50000 500.000 550.000 4.050449374999999e-05 2.8328770496954867e-07
3.00000 3.50000 550.000 600.000 0.00046943450000000014 2.0990137341249367e-06	3.00000 3.50000 550.000 600.000 3.186449375e-05 2.600453674092329e-07
3.00000 3.50000 600.000 650.000 0.0004478585078125002 1.0796322589482129e-06	3.00000 3.50000 600.000 650.000 2.5136215625e-05 2.206434892337615e-07
3.00000 3.50000 650.000 700.000 0.00042517682812500014 1.1333102673106143e-06	3.00000 3.50000 650.000 700.000 2.0182059375000004e-05 1.9269364772610992e-07
3.00000 3.50000 700.000 750.000 0.00039490039609375 2.679108528668773e-06	3.00000 3.50000 700.000 750.000 1.6070696875000004e-05 1.896281267038205e-07
3.00000 3.50000 750.000 800.000 0.0003706664218749999 2.6601579040047672e-06	3.00000 3.50000 750.000 800.000 1.29668875e-05 1.8142715196484567e-07
3.00000 3.50000 800.000 850.000 0.00034099865624999983 1.0525068010778536e-06	3.00000 3.50000 800.000 850.000 1.0393425625e-05 2.2590426103874173e-07
3.00000 3.50000 850.000 900.000 0.0003146048593749998 1.0049354799768377e-06	3.00000 3.50000 850.000 900.000 8.6573571875e-06 2.1834680591117944e-07
3.00000 3.50000 900.000 950.000 0.00028622023437500005 1.079679361273252e-06	3.00000 3.50000 900.000 950.000 6.6661099999999994e-06 1.1291712285175425e-07
3.00000 3.50000 950.000 1000.00 0.0002624782968750001 1.017928549817334e-06	3.00000 3.50000 950.000 1000.00 5.518191249999999e-06 9.568604520886975e-08
3.00000 3.50000 1000.00 1050.00 0.002626696171875 1.3134242109790123e-06	3.00000 3.50000 1000.00 1050.00 2.8579762500000005e-05 3.434646393810807e-07
 	 
3.50000 4.00000 -50.0000 0.00000 0.0 0.0	3.50000 4.00000 -50.0000 0.00000 0.0 0.0
3.50000 4.00000 0.00000 50.0000 0.0 0.0	3.50000 4.00000 0.00000 50.0000 0.0 0.0
3.50000 4.00000 50.0000 100.000 0.0 0.0	3.50000 4.00000 50.0000 100.000 0.0 0.0
3.50000 4.00000 100.000 150.000 0.0 0.0	3.50000 4.00000 100.000 150.000 0.0 0.0
3.50000 4.00000 150.000 200.000 1.8851829296875006e-06 5.817567323035404e-08	3.50000 4.00000 150.000 200.000 2.1940612499999997e-06 1.3811099893270078e-07
3.50000 4.00000 200.000 250.000 3.6282174999999974e-05 2.3943089071340336e-07	3.50000 4.00000 200.000 250.000 2.5855628125e-05 2.3040599541193509e-07
3.50000 4.00000 250.000 300.000 0.00010643250468750003 4.4909137916984967e-07	3.50000 4.00000 250.000 300.000 5.086454375e-05 2.9450741423511416e-07
3.50000 4.00000 300.000 350.000 0.0001878224843749999 6.540908332665643e-07	3.50000 4.00000 300.000 350.000 5.834100312500001e-05 2.953047271255496e-07
