2.500000000000E+01 0.25 1.005736340803E+05  4.799844328064E+02  0.000000000000E+00  43905
7.500000000000E+01 0.25 1.372747066958E+06  1.773292360052E+03  0.000000000000E+00  599267
1.250000000000E+02 0.25 4.735814396940E+04  3.293687696326E+02  0.000000000000E+00  20674
1.750000000000E+02 0.25 3.231275896451E+04  2.720646404323E+02  0.000000000000E+00  14106
2.250000000000E+02 0.25 2.744729036671E+04  2.507464650282E+02  0.000000000000E+00  11982
2.750000000000E+02 0.25 2.309723157799E+04  2.300197065771E+02  0.000000000000E+00  10083
3.250000000000E+02 0.25 1.934046674730E+04  2.104837420370E+02  0.000000000000E+00  8443
3.750000000000E+02 0.25 1.603497183834E+04  1.916545709105E+02  0.000000000000E+00  7000
4.250000000000E+02 0.25 1.335942225160E+04  1.749358901266E+02  0.000000000000E+00  5832
4.750000000000E+02 0.25 1.147187699520E+04  1.621072063926E+02  0.000000000000E+00  5008
5.250000000000E+02 0.25 9.696576541668E+03  1.490370671889E+02  0.000000000000E+00  4233
5.750000000000E+02 0.25 7.845682649472E+03  1.340603810318E+02  0.000000000000E+00  3425
6.250000000000E+02 0.25 6.714071779738E+03  1.240161002846E+02  0.000000000000E+00  2931
6.750000000000E+02 0.25 5.834439038892E+03  1.156071337895E+02  0.000000000000E+00  2547
7.250000000000E+02 0.25 4.817363682289E+03  1.050484860709E+02  0.000000000000E+00  2103
7.750000000000E+02 0.25 4.242395406371E+03  9.858041740358E+01  0.000000000000E+00  1852
8.100000000000E+02 0.25 3.167823222177E+04  2.693801248274E+02  0.000000000000E+00  13829

2.500000000000E+01 0.75 5.442727583984E+04  3.530964731241E+02  0.000000000000E+00  23760
7.500000000000E+01 0.75 1.058628840762E+06  1.557244987097E+03  0.000000000000E+00  462140
1.250000000000E+02 0.75 5.320174584934E+04  3.490985322317E+02  0.000000000000E+00  23225
1.750000000000E+02 0.75 4.528963260225E+04  3.220953681632E+02  0.000000000000E+00  19771
2.250000000000E+02 0.75 4.161991476153E+04  3.087704096470E+02  0.000000000000E+00  18169
2.750000000000E+02 0.75 3.611533800046E+04  2.876278418297E+02  0.000000000000E+00  15766
3.250000000000E+02 0.75 3.079401806039E+04  2.655940006819E+02  0.000000000000E+00  13443
3.750000000000E+02 0.75 2.615303906833E+04  2.447632223037E+02  0.000000000000E+00  11417
4.250000000000E+02 0.75 2.201372562377E+04  2.245597185714E+02  0.000000000000E+00  9610
4.750000000000E+02 0.75 1.906558151578E+04  2.089825907606E+02  0.000000000000E+00  8323
5.250000000000E+02 0.75 1.539815438533E+04  1.878103039662E+02  0.000000000000E+00  6722
