#Mjj_Dyjj
############################################################
#Dyjj	        Mjj	        d2sigma/dXdY	err        #
############################################################
2.750000e+00	3.250000e+02	2.311313e-02	2.152225e-04
2.750000e+00	3.750000e+02	2.277044e-02	2.136210e-04
2.750000e+00	4.250000e+02	2.188864e-02	2.094439e-04
2.750000e+00	4.750000e+02	2.115715e-02	2.059144e-04
2.750000e+00	5.250000e+02	1.946970e-02	1.975322e-04
2.750000e+00	5.750000e+02	1.763797e-02	1.880107e-04
2.750000e+00	6.250000e+02	1.610484e-02	1.796538e-04
2.750000e+00	6.750000e+02	1.406669e-02	1.679013e-04
2.750000e+00	7.250000e+02	1.286223e-02	1.605523e-04
2.750000e+00	7.750000e+02	1.142129e-02	1.512920e-04
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.250000e+00	2.500000e+01	0.000000e+00	0.000000e+00
3.250000e+00	7.500000e+01	0.000000e+00	0.000000e+00
3.250000e+00	1.250000e+02	4.208583e-05	9.183880e-06
3.250000e+00	1.750000e+02	2.338769e-03	6.846238e-05
3.250000e+00	2.250000e+02	7.120521e-03	1.194577e-04
3.250000e+00	2.750000e+02	1.135115e-02	1.508267e-04
3.250000e+00	3.250000e+02	1.477613e-02	1.720833e-04
3.250000e+00	3.750000e+02	1.658582e-02	1.823168e-04
3.250000e+00	4.250000e+02	1.817707e-02	1.908623e-04
3.250000e+00	4.750000e+02	1.853780e-02	1.927469e-04
3.250000e+00	5.250000e+02	1.838349e-02	1.919430e-04
3.250000e+00	5.750000e+02	1.718505e-02	1.855810e-04
3.250000e+00	6.250000e+02	1.670006e-02	1.829436e-04
3.250000e+00	6.750000e+02	1.548358e-02	1.761546e-04
3.250000e+00	7.250000e+02	1.466791e-02	1.714519e-04
3.250000e+00	7.750000e+02	1.352358e-02	1.646281e-04
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.750000e+00	2.500000e+01	0.000000e+00	0.000000e+00
3.750000e+00	7.500000e+01	0.000000e+00	0.000000e+00
3.750000e+00	1.250000e+02	0.000000e+00	0.000000e+00
3.750000e+00	1.750000e+02	8.417165e-05	1.298797e-05
3.750000e+00	2.250000e+02	1.559180e-03	5.589930e-05
3.750000e+00	2.750000e+02	4.176517e-03	9.148827e-05
3.750000e+00	3.250000e+02	6.888047e-03	1.174915e-04
3.750000e+00	3.750000e+02	9.321008e-03	1.366752e-04
3.750000e+00	4.250000e+02	1.116276e-02	1.495699e-04
3.750000e+00	4.750000e+02	1.259769e-02	1.588926e-04
3.750000e+00	5.250000e+02	1.383221e-02	1.664961e-04
3.750000e+00	5.750000e+02	1.444947e-02	1.701705e-04
3.750000e+00	6.250000e+02	1.473204e-02	1.718263e-04
3.750000e+00	6.750000e+02	1.448754e-02	1.703945e-04
3.750000e+00	7.250000e+02	1.373601e-02	1.659161e-04
3.750000e+00	7.750000e+02	1.377008e-02	1.661218e-04
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.250000e+00	2.500000e+01	0.000000e+00	0.000000e+00
4.250000e+00	7.500000e+01	0.000000e+00	0.000000e+00
4.250000e+00	1.250000e+02	0.000000e+00	0.000000e+00
4.250000e+00	1.750000e+02	0.000000e+00	0.000000e+00
4.250000e+00	2.250000e+02	3.406948e-05	8.263062e-06
4.250000e+00	2.750000e+02	6.974222e-04	3.738576e-05
4.250000e+00	3.250000e+02	1.911899e-03	6.190001e-05
4.250000e+00	3.750000e+02	3.388911e-03	8.241160e-05
4.250000e+00	4.250000e+02	5.070340e-03	1.008038e-04
4.250000e+00	4.750000e+02	6.449152e-03	1.136867e-04
4.250000e+00	5.250000e+02	8.020356e-03	1.267813e-04
4.250000e+00	5.750000e+02	8.888125e-03	1.334638e-04
4.250000e+00	6.250000e+02	9.775936e-03	1.399708e-04
4.250000e+00	6.750000e+02	1.040121e-02	1.443777e-04
4.250000e+00	7.250000e+02	1.119483e-02	1.497845e-04
4.250000e+00	7.750000e+02	1.106456e-02	1.489105e-04
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.750000e+00	2.500000e+01	0.000000e+00	0.000000e+00
4.750000e+00	7.500000e+01	0.000000e+00	0.000000e+00
4.750000e+00	1.250000e+02	0.000000e+00	0.000000e+00
4.750000e+00	1.750000e+02	0.000000e+00	0.000000e+00
4.750000e+00	2.250000e+02	0.000000e+00	0.000000e+00
4.750000e+00	2.750000e+02	2.004087e-06	2.004087e-06
4.750000e+00	3.250000e+02	1.222493e-04	1.565242e-05
4.750000e+00	3.750000e+02	7.074427e-04	3.765337e-05
4.750000e+00	4.250000e+02	1.392840e-03	5.283345e-05
4.750000e+00	4.750000e+02	2.200487e-03	6.640759e-05
4.750000e+00	5.250000e+02	3.174474e-03	7.976165e-05
4.750000e+00	5.750000e+02	4.232632e-03	9.210082e-05
4.750000e+00	6.250000e+02	4.928050e-03	9.937927e-05
4.750000e+00	6.750000e+02	5.613447e-03	1.060652e-04
4.750000e+00	7.250000e+02	6.302853e-03	1.123898e-04
4.750000e+00	7.750000e+02	7.046370e-03	1.188341e-04
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
