

Mjj_Dyjj
############################################################
#Dyjj	        Mjj	        d2sigma/dXdY	err        #
############################################################
3.250000e+00	1.250000e+02	5.264570e-05	6.247895e-06
3.250000e+00	1.750000e+02	1.844082e-03	3.697792e-05
3.250000e+00	2.250000e+02	4.761841e-03	5.942097e-05
3.250000e+00	2.750000e+02	6.396082e-03	6.886670e-05
3.250000e+00	3.250000e+02	6.946266e-03	7.176753e-05
3.250000e+00	3.750000e+02	6.625943e-03	7.009324e-05
3.250000e+00	4.250000e+02	6.238886e-03	6.801517e-05
3.250000e+00	4.750000e+02	5.534472e-03	6.406051e-05
3.250000e+00	5.250000e+02	4.884186e-03	6.017947e-05
3.250000e+00	5.750000e+02	4.370335e-03	5.692586e-05
3.250000e+00	6.250000e+02	3.800871e-03	5.308769e-05
3.250000e+00	6.750000e+02	3.279605e-03	4.931318e-05
3.250000e+00	7.250000e+02	2.905894e-03	4.641862e-05
3.250000e+00	7.750000e+02	2.643407e-03	4.427253e-05
3.750000e+00	2.500000e+01	0.000000e+00	0.000000e+00
3.750000e+00	7.500000e+01	0.000000e+00	0.000000e+00
3.750000e+00	1.250000e+02	0.000000e+00	0.000000e+00
3.750000e+00	1.750000e+02	5.783612e-05	6.548651e-06
3.750000e+00	2.250000e+02	1.066261e-03	2.811797e-05
3.750000e+00	2.750000e+02	2.403906e-03	4.221930e-05
3.750000e+00	3.250000e+02	3.278863e-03	4.930761e-05
3.750000e+00	3.750000e+02	3.603635e-03	5.169192e-05
3.750000e+00	4.250000e+02	3.768987e-03	5.286456e-05
3.750000e+00	4.750000e+02	3.636261e-03	5.192539e-05
3.750000e+00	5.250000e+02	3.409365e-03	5.027928e-05
3.750000e+00	5.750000e+02	3.077178e-03	4.776707e-05
3.750000e+00	6.250000e+02	2.666394e-03	4.446460e-05
3.750000e+00	6.750000e+02	2.444688e-03	4.257592e-05
3.750000e+00	7.250000e+02	2.222242e-03	4.059270e-05
3.750000e+00	7.750000e+02	1.938252e-03	3.791031e-05
4.250000e+00	2.500000e+01	0.000000e+00	0.000000e+00
4.250000e+00	7.500000e+01	0.000000e+00	0.000000e+00
4.250000e+00	1.250000e+02	0.000000e+00	0.000000e+00
4.250000e+00	1.750000e+02	0.000000e+00	0.000000e+00
4.250000e+00	2.250000e+02	3.262550e-05	4.918480e-06
4.250000e+00	2.750000e+02	3.996624e-04	1.721468e-05
4.250000e+00	3.250000e+02	1.029928e-03	2.763476e-05
4.250000e+00	3.750000e+02	1.422917e-03	3.248195e-05
4.250000e+00	4.250000e+02	1.737308e-03	3.589143e-05
4.250000e+00	4.750000e+02	1.800335e-03	3.653666e-05
4.250000e+00	5.250000e+02	1.874484e-03	3.728148e-05
4.250000e+00	5.750000e+02	1.775124e-03	3.627995e-05
4.250000e+00	6.250000e+02	1.692077e-03	3.542113e-05
4.250000e+00	6.750000e+02	1.606806e-03	3.451708e-05
4.250000e+00	7.250000e+02	1.487426e-03	3.321009e-05
4.250000e+00	7.750000e+02	1.368047e-03	3.184951e-05
4.750000e+00	2.500000e+01	0.000000e+00	0.000000e+00
4.750000e+00	7.500000e+01	0.000000e+00	0.000000e+00
4.750000e+00	1.250000e+02	0.000000e+00	0.000000e+00
4.750000e+00	1.750000e+02	0.000000e+00	0.000000e+00
4.750000e+00	2.250000e+02	0.000000e+00	0.000000e+00
4.750000e+00	2.750000e+02	7.414887e-07	7.414887e-07
4.750000e+00	3.250000e+02	8.823716e-05	8.088687e-06
4.750000e+00	3.750000e+02	3.136497e-04	1.525017e-05
4.750000e+00	4.250000e+02	5.360964e-04	1.993764e-05
4.750000e+00	4.750000e+02	6.910675e-04	2.263667e-05
4.750000e+00	5.250000e+02	7.859781e-04	2.414112e-05
4.750000e+00	5.750000e+02	8.749567e-04	2.547097e-05
4.750000e+00	6.250000e+02	8.749567e-04	2.547097e-05
4.750000e+00	6.750000e+02	8.682833e-04	2.537365e-05
4.750000e+00	7.250000e+02	8.749567e-04	2.547097e-05
4.750000e+00	7.750000e+02	8.022908e-04	2.439036e-05

#overflow Dyjj < 5, Mjj > 800   0.199308        0.000140931
#overflow Mjj < 800, Dyjj > 5   0.00265008      1.87388e-06
#overflow Dyjj > 5, Mjj > 800   0.0103645       7.32878e-06
