

Mjj_Dyjj
############################################################
#Dyjj	        Mjj	        d2sigma/dXdY	err        #
############################################################
2.500000e-01	2.500000e+01	1.038249e-02	1.093318e-04
2.500000e-01	7.500000e+01	1.377470e-01	3.982325e-04
2.500000e-01	1.250000e+02	4.924141e-03	7.529408e-05
2.500000e-01	1.750000e+02	3.207542e-03	6.076895e-05
2.500000e-01	2.250000e+02	2.684848e-03	5.559753e-05
2.500000e-01	2.750000e+02	2.378601e-03	5.233068e-05
2.500000e-01	3.250000e+02	1.968735e-03	4.760902e-05
2.500000e-01	3.750000e+02	1.621040e-03	4.320087e-05
2.500000e-01	4.250000e+02	1.304431e-03	3.875307e-05
2.500000e-01	4.750000e+02	1.085683e-03	3.535469e-05
2.500000e-01	5.250000e+02	9.659467e-04	3.334818e-05
2.500000e-01	5.750000e+02	8.151254e-04	3.063429e-05
2.500000e-01	6.250000e+02	6.723634e-04	2.782259e-05
2.500000e-01	6.750000e+02	6.021336e-04	2.632947e-05
2.500000e-01	7.250000e+02	5.376604e-04	2.487996e-05
2.500000e-01	7.750000e+02	4.685820e-04	2.322675e-05
7.500000e-01	2.500000e+01	5.467558e-03	7.934001e-05
7.500000e-01	7.500000e+01	1.053791e-01	3.483156e-04
7.500000e-01	1.250000e+02	5.284500e-03	7.800053e-05
7.500000e-01	1.750000e+02	4.539604e-03	7.229439e-05
7.500000e-01	2.250000e+02	4.069871e-03	6.845196e-05
7.500000e-01	2.750000e+02	3.580565e-03	6.420537e-05
7.500000e-01	3.250000e+02	3.073990e-03	5.949039e-05
7.500000e-01	3.750000e+02	2.532876e-03	5.400109e-05
7.500000e-01	4.250000e+02	2.106892e-03	4.925119e-05
7.500000e-01	4.750000e+02	1.761500e-03	4.503362e-05
7.500000e-01	5.250000e+02	1.566929e-03	4.247372e-05
7.500000e-01	5.750000e+02	1.375812e-03	3.979927e-05
7.500000e-01	6.250000e+02	1.190452e-03	3.702128e-05
7.500000e-01	6.750000e+02	9.624928e-04	3.328851e-05
7.500000e-01	7.250000e+02	8.312437e-04	3.093569e-05
7.500000e-01	7.750000e+02	7.483496e-04	2.935269e-05
1.250000e+00	2.500000e+01	3.200634e-04	1.919613e-05
1.250000e+00	7.500000e+01	4.510131e-02	2.278716e-04
1.250000e+00	1.250000e+02	5.041574e-03	7.618661e-05
1.250000e+00	1.750000e+02	6.260808e-03	8.490061e-05
1.250000e+00	2.250000e+02	6.485313e-03	8.640942e-05
1.250000e+00	2.750000e+02	6.146829e-03	8.412424e-05
1.250000e+00	3.250000e+02	5.548149e-03	7.992261e-05
1.250000e+00	3.750000e+02	4.792892e-03	7.428385e-05
1.250000e+00	4.250000e+02	4.206876e-03	6.959459e-05
1.250000e+00	4.750000e+02	3.511487e-03	6.358301e-05
1.250000e+00	5.250000e+02	3.085503e-03	5.960169e-05
1.250000e+00	5.750000e+02	2.605408e-03	5.476883e-05
1.250000e+00	6.250000e+02	2.215115e-03	5.050027e-05
1.250000e+00	6.750000e+02	1.857058e-03	4.623899e-05
1.250000e+00	7.250000e+02	1.706237e-03	4.432159e-05
1.250000e+00	7.750000e+02	1.450647e-03	4.086735e-05
1.750000e+00	2.500000e+01	0.000000e+00	0.000000e+00
1.750000e+00	7.500000e+01	8.483982e-03	9.883152e-05
1.750000e+00	1.250000e+02	3.427441e-03	6.281749e-05
1.750000e+00	1.750000e+02	6.730541e-03	8.802795e-05
1.750000e+00	2.250000e+02	8.594508e-03	9.947320e-05
1.750000e+00	2.750000e+02	9.277233e-03	1.033487e-04
1.750000e+00	3.250000e+02	8.932992e-03	1.014131e-04
1.750000e+00	3.750000e+02	8.218030e-03	9.727012e-05
1.750000e+00	4.250000e+02	7.420174e-03	9.242781e-05
1.750000e+00	4.750000e+02	6.387452e-03	8.575499e-05
1.750000e+00	5.250000e+02	5.625287e-03	8.047629e-05
1.750000e+00	5.750000e+02	4.775622e-03	7.414990e-05
1.750000e+00	6.250000e+02	4.287468e-03	7.025804e-05
1.750000e+00	6.750000e+02	3.711814e-03	6.537154e-05
1.750000e+00	7.250000e+02	3.183364e-03	6.053949e-05
1.750000e+00	7.750000e+02	2.816097e-03	5.694026e-05
2.250000e+00	2.500000e+01	0.000000e+00	0.000000e+00
2.250000e+00	7.500000e+01	2.590441e-04	1.726961e-05
2.250000e+00	1.250000e+02	1.473673e-03	4.119042e-05
2.250000e+00	1.750000e+02	4.890753e-03	7.503838e-05
2.250000e+00	2.250000e+02	8.294016e-03	9.771878e-05
2.250000e+00	2.750000e+02	1.064614e-02	1.107112e-04
2.250000e+00	3.250000e+02	1.164893e-02	1.158080e-04
2.250000e+00	3.750000e+02	1.153034e-02	1.152170e-04
2.250000e+00	4.250000e+02	1.089021e-02	1.119731e-04
2.250000e+00	4.750000e+02	1.005782e-02	1.076087e-04
2.250000e+00	5.250000e+02	9.064241e-03	1.021554e-04
2.250000e+00	5.750000e+02	8.081025e-03	9.645590e-05
2.250000e+00	6.250000e+02	7.308498e-03	9.172963e-05
2.250000e+00	6.750000e+02	6.478405e-03	8.636338e-05
2.250000e+00	7.250000e+02	5.733509e-03	8.124672e-05
2.250000e+00	7.750000e+02	4.946015e-03	7.546113e-05
2.750000e+00	2.500000e+01	0.000000e+00	0.000000e+00
2.750000e+00	7.500000e+01	0.000000e+00	0.000000e+00
2.750000e+00	1.250000e+02	2.694059e-04	1.761161e-05
2.750000e+00	1.750000e+02	2.186332e-03	5.017111e-05
2.750000e+00	2.250000e+02	5.489432e-03	7.949857e-05
2.750000e+00	2.750000e+02	8.470166e-03	9.875101e-05
2.750000e+00	3.250000e+02	1.104449e-02	1.127635e-04
2.750000e+00	3.750000e+02	1.215205e-02	1.182824e-04
2.750000e+00	4.250000e+02	1.259069e-02	1.203983e-04
2.750000e+00	4.750000e+02	1.267013e-02	1.207775e-04
2.750000e+00	5.250000e+02	1.188955e-02	1.169980e-04
2.750000e+00	5.750000e+02	1.118840e-02	1.134958e-04
2.750000e+00	6.250000e+02	1.030650e-02	1.089309e-04
2.750000e+00	6.750000e+02	9.672131e-03	1.055253e-04
2.750000e+00	7.250000e+02	8.772960e-03	1.005006e-04
2.750000e+00	7.750000e+02	7.792047e-03	9.471557e-05
3.250000e+00	2.500000e+01	0.000000e+00	0.000000e+00
3.250000e+00	7.500000e+01	0.000000e+00	0.000000e+00
3.250000e+00	1.250000e+02	2.302614e-06	1.628194e-06
3.250000e+00	1.750000e+02	5.065751e-04	2.415002e-05
3.250000e+00	2.250000e+02	2.224325e-03	5.060515e-05
3.250000e+00	2.750000e+02	4.691577e-03	7.349453e-05
3.250000e+00	3.250000e+02	7.367214e-03	9.209737e-05
3.250000e+00	3.750000e+02	9.765387e-03	1.060328e-04
3.250000e+00	4.250000e+02	1.138873e-02	1.145073e-04
3.250000e+00	4.750000e+02	1.235583e-02	1.192701e-04
3.250000e+00	5.250000e+02	1.285550e-02	1.216578e-04
3.250000e+00	5.750000e+02	1.289464e-02	1.218429e-04
3.250000e+00	6.250000e+02	1.228445e-02	1.189251e-04
3.250000e+00	6.750000e+02	1.183889e-02	1.167484e-04
3.250000e+00	7.250000e+02	1.108478e-02	1.129690e-04
3.250000e+00	7.750000e+02	1.043430e-02	1.096042e-04
3.750000e+00	2.500000e+01	0.000000e+00	0.000000e+00
3.750000e+00	7.500000e+01	0.000000e+00	0.000000e+00
3.750000e+00	1.250000e+02	0.000000e+00	0.000000e+00
3.750000e+00	1.750000e+02	1.957222e-05	4.746961e-06
3.750000e+00	2.250000e+02	4.962134e-04	2.390176e-05
3.750000e+00	2.750000e+02	1.650974e-03	4.359792e-05
3.750000e+00	3.250000e+02	3.402113e-03	6.258495e-05
3.750000e+00	3.750000e+02	5.415749e-03	7.896322e-05
3.750000e+00	4.250000e+02	7.325767e-03	9.183794e-05
3.750000e+00	4.750000e+02	8.821315e-03	1.007772e-04
3.750000e+00	5.250000e+02	1.015338e-02	1.081187e-04
3.750000e+00	5.750000e+02	1.110436e-02	1.130687e-04
3.750000e+00	6.250000e+02	1.139794e-02	1.145536e-04
3.750000e+00	6.750000e+02	1.181932e-02	1.166519e-04
3.750000e+00	7.250000e+02	1.153495e-02	1.152400e-04
3.750000e+00	7.750000e+02	1.110321e-02	1.130628e-04
4.250000e+00	2.500000e+01	0.000000e+00	0.000000e+00
4.250000e+00	7.500000e+01	0.000000e+00	0.000000e+00
4.250000e+00	1.250000e+02	0.000000e+00	0.000000e+00
4.250000e+00	1.750000e+02	0.000000e+00	0.000000e+00
